西暦,和暦,項目,総数(件),大気汚染(件),水質汚濁(件),土壌汚染(件),騒音(件),振動(件),地盤沈下(件),悪臭(件),その他(件)
2011年度,平成23年度,合計,1853,262,162,-,321,18,-,284,806
2012年度,平成24年度,合計,1862,289,172,1,348,24,-,258,770
2013年度,平成25年度,合計,1855,316,171,3,330,25,-,252,758
2014年度,平成26年度,合計,1682,269,152,-,365,20,2,228,646
2015年度,平成27年度,合計,1775,307,171,1,382,25,2,254,633
2015年度,平成27年度,京都市環境共生センター計,588,104,65,-,264,16,2,132,5
2015年度,平成27年度,北部環境共生センター,296,52,20,-,154,4,-,63,3
2015年度,平成27年度,北部環境共生センター_京都市北区,39,6,4,-,16,-,-,12,1
2015年度,平成27年度,北部環境共生センター_京都市上京区,40,8,1,-,25,-,-,6,-
2015年度,平成27年度,北部環境共生センター_京都市左京区,66,13,9,-,35,1,-,7,1
2015年度,平成27年度,北部環境共生センター_京都市中京区,62,10,1,-,43,-,-,8,-
2015年度,平成27年度,北部環境共生センター_京都市右京区,89,15,5,-,35,3,-,30,1
2015年度,平成27年度,南部環境共生センター,292,52,45,-,110,12,2,69,2
2015年度,平成27年度,南部環境共生センター_京都市東山区,23,3,-,-,14,2,-,4,-
2015年度,平成27年度,南部環境共生センター_京都市山科区,47,16,7,-,12,1,2,9,-
2015年度,平成27年度,南部環境共生センター_京都市下京区,27,5,-,-,16,1,-,5,-
2015年度,平成27年度,南部環境共生センター_京都市南区,48,5,8,-,19,2,-,14,-
2015年度,平成27年度,南部環境共生センター_京都市西京区,43,5,10,-,17,-,-,11,-
2015年度,平成27年度,南部環境共生センター_京都市伏見区,104,18,20,-,32,6,-,26,2
2015年度,平成27年度,府保健所計,1187,203,106,1,118,9,-,122,628
2015年度,平成27年度,乙訓保健所,75,26,13,-,16,-,-,8,12
2015年度,平成27年度,山城北保健所,689,94,45,-,66,9,-,68,407
2015年度,平成27年度,山城南保健所,39,3,2,-,17,-,-,6,11
2015年度,平成27年度,南丹保健所,211,24,13,1,3,-,-,24,146
2015年度,平成27年度,中丹西保健所,55,26,16,-,5,-,-,6,2
2015年度,平成27年度,中丹東保健所,95,23,13,-,7,-,-,3,49
2015年度,平成27年度,丹後保健所,23,7,4,-,4,-,-,7,1
