項目,2011年平均,2012年平均,2013年平均,2014年平均,2015年平均,2015年_1月,2015年_2月,2015年_3月,2015年_4月,2015年_5月,2015年_6月,2015年_7月,2015年_8月,2015年_9月,2015年_10月,2015年_11月,2015年_12月
総合,95.9,95.8,96.4,99.2,100,99.7,99.6,99.7,100.2,100.3,100.3,99.9,100.1,100.2,100.3,99.9,99.9
生鮮食品を除く総合,96.3,96.2,96.8,99.4,100,99.7,99.8,99.9,100.2,100.1,100.2,99.9,99.9,99.9,100.1,100.2,100.1
持家の帰属家賃を除く総合,95.1,95,95.7,99,100,99.6,99.5,99.7,100.2,100.4,100.3,99.9,100.1,100.2,100.4,99.9,99.9
持家の帰属家賃及び生鮮食品を除く総合,95.5,95.3,96.1,99.3,100,99.7,99.7,99.9,100.2,100.1,100.2,99.9,99.9,99.9,100.1,100.2,100.1
食料（酒類を除く）及びエネルギーを除く総合,97.9,97.2,97.3,99.2,100,99.5,99.5,99.7,100,100,100,100,100.2,100.3,100.3,100.2,100.1
食料,93.8,94,94.1,97.9,100,99.4,99.2,99,99.6,100.3,100.2,99.7,100.1,101,101.1,100.1,100.2
食料_生鮮食品,88.5,89,89.3,94.6,100,98.2,95,96.1,100,104.8,102.3,99.5,102.8,106.4,104.5,95,95.4
食料_生鮮食品を除く食料,94.8,95,95.1,98.6,100,99.7,100,99.5,99.6,99.5,99.8,99.7,99.6,100,100.5,101,101.1
食料_穀類,98.9,101.8,102.6,103.8,100,99.5,100.4,99.9,98.8,99.3,99.7,99.6,99.7,99.2,101.3,101.8,100.8
食料_魚介類,88,89.1,89.5,97.8,100,99,98,99.6,100.7,101.2,100.5,100.2,101.1,101,99.8,99.4,99.6
食料_魚介類_うち生鮮魚介,85,86.1,85.9,97.8,100,98.9,96.9,99.9,101,102,101.5,101.2,102.2,101.8,98.6,98.5,97.5
食料_肉類,94.8,92.8,93.2,100.2,100,102.1,104.2,102.1,100.8,98.3,98.9,99.8,98.5,98.8,97.5,98.6,100.5
食料_乳卵類,94.5,92.3,92.8,98.1,100,98.6,98.3,97.8,99.9,100.5,100.5,100,100,101.2,100.8,101.1,101.4
食料_野菜・海藻,93.1,92.7,93.6,95.2,100,99.4,95.2,95.8,100.6,103.6,100.1,98.5,101.9,106.3,108,96.5,94.3
食料_野菜・海藻_うち生鮮野菜,91.8,90.2,91.8,93.1,100,99.1,92.6,93.5,101,105.4,100.3,97.9,103.1,109.5,112,94.3,91.5
食料_果物,87.6,91.4,90,92.9,100,95,97.9,96.8,95.6,107,108.3,100.9,103.5,105.3,96.1,92.3,101.4
食料_果物_うち生鮮果物,87.2,91.3,89.6,92.4,100,94.7,97.9,96.7,96,108,108.6,100.7,103.2,106.1,95.2,91.2,101.9
食料_油脂・調味料,98.3,97.2,98.1,101.2,100,99.9,100.6,99.8,101.1,100.2,100.6,100.1,100,98.9,99,100.2,99.5
食料_菓子類,92.9,91.7,90.9,95.4,100,99.1,98.8,97.2,97.6,97,98.3,98.7,99.3,101.3,104.3,104.5,103.9
食料_調理食品,90.2,91.6,92,96.6,100,99.4,99.1,99.5,98.9,100.4,100,99.1,99.7,99.4,100.8,102,101.8
食料_飲料,101.2,99.7,96.8,98.1,100,99.8,100.5,99.2,99.9,101.2,100.9,99.3,98.6,100,98.8,100.8,101
食料_酒類,99.2,98,98.1,100.1,100,101.4,100.3,99.6,100,99.8,100.3,100.7,98.9,100.1,99.9,99.8,99.1
食料_外食,93.7,94.3,94.5,97.6,100,98.8,98.9,99.2,99.8,99.8,100.2,100.4,100.5,100.6,100.5,100.6,100.6
住居,100.3,100.1,99.8,99.9,100,100,100.1,100,100,100,100.1,100.1,100.1,100.1,99.8,99.8,99.8
住居_持家の帰属家賃を除く住居,100,99.1,98.5,99.2,100,99.9,100,100,100,100.1,100.6,100.5,100.6,100.4,99.4,99.3,99.3
住居_家賃,100.5,100.4,100.2,100.1,100,100.1,100.1,100.1,100.1,100,100,100,100,100,99.9,99.9,99.9
住居_家賃_持家の帰属家賃を除く家賃,100.8,100.6,100.3,100.2,100,100.2,100.2,100.2,100.1,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9
住居_設備修繕・維持,98.8,96.8,95.8,97.7,100,99.5,99.8,99.8,99.9,100.1,101.6,101.2,101.6,101.1,98.6,98.4,98.4
光熱・水道,85.9,89,94.5,101.3,100,101.6,102.1,102.8,102.6,102.4,102,99.6,98,96.4,97.4,97.6,97.5
光熱・水道_電気代,79.4,82.1,90.6,99,100,100.1,100.4,100.7,99.9,100.7,102,99.6,98.3,97.1,100.4,100.7,100.2
光熱・水道_ガス代,89.6,95.3,98.7,104.9,100,105,106.5,108.3,108.8,106.8,103.7,99.3,95.6,91.9,90.8,91.3,92
光熱・水道_他の光熱,104.6,110.3,116.3,123.7,100,104.6,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,97.4,91.5,87.5
光熱・水道_上下水道料,92.9,92.9,94.6,99,100,100,100,100,100,100,100,100,100,100,100,100,100
家具・家事用品,102.5,98.6,97,99.5,100,102.6,101.7,100.7,100.1,99.7,100.5,100.2,99.2,98.6,99.7,98.6,98.4
家具・家事用品_家庭用耐久財,115.9,102,95.9,99.1,100,103.1,102.6,100,100.7,101.2,100.6,101.4,99.1,99.4,100.2,96.2,95.5
家具・家事用品_室内装備品,107.1,105.3,99.1,101.4,100,104.7,102.1,101.3,97.8,99.3,101.2,101.1,99.5,99.5,101.4,97.5,94.4
家具・家事用品_寝具類,95.8,93.7,92.9,94.4,100,101.5,100.5,98.1,98.7,98.7,103.5,101.3,101.6,97.4,98.9,100.2,99.7
家具・家事用品_家事雑貨,95.8,97.6,98.9,100.2,100,102.1,101.2,100.5,99,99.8,100.3,99.1,98.8,98.6,100.5,99.8,100.2
家具・家事用品_家事用消耗品,97.3,96.5,97.3,100.5,100,102.2,101.4,102,101.7,98.8,99.5,99.4,98.8,97.7,98.5,99.8,100.3
家具・家事用品_家事サービス,97,97,97.6,99.7,100,101.5,101.5,101.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
被服及び履物,96.2,96.6,97.1,98.7,100,95.7,96.2,99.5,102.1,102.2,101.8,96.2,94.9,102.7,103.1,103.7,101.8
被服及び履物_衣料,95.7,96,97,97.9,100,92.1,94.4,101,100.9,101.5,101,94.9,94.3,104,105,105.5,105.4
被服及び履物_衣料_和服,87.4,90.1,94.2,95.9,100,93.5,99.5,99.5,100.4,97.5,97.5,97.5,98.9,98.9,98.9,109,109
被服及び履物_衣料_洋服,96.2,96.4,97.1,98,100,92.1,94.3,101,100.9,101.5,101.1,94.9,94.3,104,105,105.4,105.4
被服及び履物_シャツ・セーター・下着類,95.1,96.9,97.2,99.8,100,97.5,96.2,95.2,103.3,102.2,101.7,96.9,94.6,104.1,102.9,104,101.3
被服及び履物_シャツ・セーター・下着類_シャツ・セーター類,96.1,98.4,99.4,101,100,97.5,95.3,94.3,105.2,103.7,102.7,95.7,92.6,105.4,103.1,103.8,100.8
被服及び履物_シャツ・セーター・下着類_下着類,92.7,93.2,91.8,96.9,100,97.8,98.9,97.9,97.6,98,98.8,100.4,100.4,100.2,102.2,104.6,103
被服及び履物_履物類,96.5,93.5,95.1,97.8,100,99.8,100,102.6,105.3,105.3,105.3,98.2,96.5,96.8,98.3,98.3,93.8
被服及び履物_他の被服,104.5,106.7,102.8,100.5,100,97.8,96.2,100.8,100.9,102.2,101.4,93.7,92.5,103.2,104.9,105.3,101.1
被服及び履物_被服関連サービス,93.7,93.9,94.1,98.1,100,99.1,99.1,99.4,99.4,100,100,100,100,100.8,100.8,100.8,100.8
保健医療,98.6,97.9,97.8,98.9,100,99.4,99.3,99.6,99.9,100.6,100.3,100.4,100.3,100.1,100.1,99.9,100.1
保健医療_医薬品・健康保持用摂取品,97.2,96,94.9,97.7,100,99.6,98.9,99.4,100,100.8,100.8,101.1,100.8,100.4,99.7,99.2,99.3
保健医療_保健医療用品・器具,101.6,99.3,100.1,99.9,100,99.3,100,100.8,99.4,101.7,100.1,100.3,100.2,99.6,100.2,98.9,99.6
保健医療_保健医療サービス,98.2,98.3,98.4,99.1,100,99.2,99.2,99.2,100.1,100.1,100.1,100.1,100.1,100.1,100.4,100.8,100.8
交通・通信,97.5,97.7,98.8,101.1,100,100,99.2,99.6,100,100.1,100.1,100.7,100.8,100.1,100,99.8,99.6
交通・通信_交通,93.6,93.7,93.7,98.2,100,99.7,99.3,100.4,99.9,100,99.3,100.6,102,99.6,99.9,99.4,99.8
交通・通信_自動車等関係費,98.1,99,101.7,103.6,100,100.4,99.1,99.6,100.1,100.3,100.6,100.9,100.5,100,99.9,99.6,99
交通・通信_通信,99.8,99.2,98.4,99.6,100,99.3,99.3,99,99.9,99.9,99.8,100.5,100.5,100.5,100.2,100.6,100.6
教育,96.8,97.1,97.4,98.9,100,99.6,99.6,99.6,100.2,100.2,100.2,100.1,100.1,100.1,100.1,100.1,100.1
教育_授業料等,98.3,98.9,98.9,99.3,100,99.4,99.4,99.4,100.2,100.2,100.2,100.2,100.2,100.2,100.2,100.2,100.2
教育_教科書・学習参考教材,91.2,93,96.4,98.5,100,98.8,98.8,98.8,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4
教育_補習教育,93.8,93.7,94.3,98.2,100,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100
教養娯楽,96.6,95.1,94.5,98.3,100,98.9,99,99.5,99.4,99.2,99.4,100.3,102.3,100.6,100.7,100.3,100.5
教養娯楽_教養娯楽用耐久財,101.9,93.9,92.6,94.7,100,96.6,97.3,98,97.9,97.6,98.8,99.3,100.4,103.5,103.8,103.7,103
教養娯楽_教養娯楽用品,96.2,95,94.6,99.3,100,101.7,100.5,100.3,99.8,100.3,100.2,100.4,100.5,99.9,99.5,99,97.9
教養娯楽_書籍・他の印刷物,96,96.4,96.6,98.8,100,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100.2,100,100.2,100.2,100.3
教養娯楽_教養娯楽サービス,95.7,95.1,94.5,98.6,100,98,98.5,99.2,99.2,98.9,99.1,100.5,103.3,100.7,101,100.5,101.1
諸雑費,93.8,92.4,94.6,98.8,100,98.9,99,98.9,100.3,100.2,100,100.2,100.5,100.7,100.4,100.4,100.5
諸雑費_理美容サービス,97.9,97.7,97.8,99.1,100,100,100,100,100,100,100,100,100,100,100,100,100
諸雑費_理美容用品,99.7,95.6,96.6,98.5,100,99.1,98.9,97.4,100.1,100.2,99.6,100.1,101.1,101.5,100.6,100.6,100.6
諸雑費_身の回り用品,86.7,83.4,91,100,100,98.8,100.5,102.6,101,99.3,98.7,99.7,99.7,100.1,99.7,99.7,100.1
