地域,持家の帰属家賃を除く総合,食料,（参考）家賃を除く総合
札幌市,98.7,99.9,99.7
青森市,99,98.9,99.6
盛岡市,99.3,99,99.7
仙台市,98.5,97.1,98.6
秋田市,98.2,97.2,98.6
山形市,100.4,101.3,101.1
福島市,101.5,102.9,102.1
水戸市,99.2,99.8,99.7
宇都宮市,100.4,101.5,100.8
前橋市,96.6,97.3,97.2
さいたま市,103.2,101.4,102.3
千葉市,100.2,100.6,100.2
東京都区部,104.3,103.2,102
横浜市,103.9,102.9,102.7
新潟市,99.5,101,99.7
富山市,98.7,101.9,99.4
金沢市,100.8,103.5,101.4
福井市,99.4,102.7,100.1
甲府市,99,99.9,99.6
長野市,97.4,94.5,98.2
岐阜市,98.3,98.5,99.2
静岡市,99.3,99.8,99.1
名古屋市,99.7,99.4,99.8
津市,97.9,99.1,98.5
大津市,100.7,100.2,101.2
京都市,100.8,100.6,101
大阪市,101,99.9,100.6
神戸市,101.6,101.4,101.5
奈良市,96.9,93.8,97.3
和歌山市,99.7,100.4,100.4
鳥取市,97.9,101.1,98.9
松江市,100.7,103.2,101.3
岡山市,98.9,100.8,99.6
広島市,99.3,101.4,100
山口市,99.1,100.8,100.2
徳島市,99.3,102.9,100.3
高松市,99.1,98.5,99.6
松山市,98.4,99.7,99.5
高知市,99.2,103,100.1
福岡市,98.3,96.9,99.3
佐賀市,96.9,96.4,98
長崎市,102,101.8,101.9
熊本市,98.3,101.7,99.5
大分市,98.4,100.2,99.6
宮崎市,97.3,99.8,98.1
鹿児島市,97.5,101,97.9
那覇市,98.9,103.9,100
川崎市,104.4,101.5,102.6
相模原市,103.6,104.5,102.9
浜松市,97.6,98.7,98.1
堺市,100.5,100.9,100.8
北九州市,97.8,98.3,98.6
