都道府県,持家の帰属家賃を除く総合,食料,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
全国,100,100,100,100,100,100,100,100,100,100,100
北海道,99.2,99,82.7,112.4,99.3,107.6,99.9,98.8,94.3,97.7,101
青森県,98.9,98.5,95.4,107.1,95.7,97.7,101.7,100.7,93.4,95.7,96.8
岩手県,99,97.5,94.9,109.6,101.1,98.9,100.5,99.8,90.2,98.2,97.4
宮城県,98.1,96.8,95.8,101,101.9,94,100.6,98.1,98.7,99.5,99.3
秋田県,98.5,97.2,96.3,104.4,103.4,100.5,99.1,98.4,86.3,98.1,99.9
山形県,100.8,102,93.2,109.5,94.4,106.6,97.6,99.7,104.9,98.8,97.9
福島県,100.1,99.8,97.4,108.1,101.9,106.6,99.9,99.3,90.3,96.1,102.7
茨城県,98.1,99.1,97.7,104.2,94,96.9,98.8,98.2,88.6,95.1,101.2
栃木県,99,99.3,92.5,98.2,100,115.6,99.7,98.5,101.3,95.7,99.9
群馬県,96.4,98.4,91.5,92.4,94.8,102,101.9,97.8,79.3,96.5,98.2
埼玉県,101.7,100.7,111.5,94.8,101.6,101.7,100.5,100.8,103.6,104.8,100.6
千葉県,99.8,99.9,99,101.9,100.4,93.4,101.1,99.7,97.5,101.8,99.7
東京都,104,103,128,96.5,102.6,98.5,101.2,102.6,109.1,104.1,99.4
神奈川県,103.5,102.2,118.5,99.5,100.5,100.5,97.9,103.9,112.4,102.9,102
新潟県,99.1,100.2,93.5,97.3,99.4,103,99.5,99.2,96.1,99.6,100.8
富山県,98.4,100.2,92.4,99.2,99.4,99.2,99.8,98.4,85.3,97.3,102.6
石川県,100.6,103.3,89.7,100.4,100.9,104.2,102.3,100.7,100,98.2,101.1
福井県,99.7,103.2,91.4,90.8,112.1,97.1,102.9,99.6,109,95.2,102
山梨県,98.5,99.9,95.9,96,100,103.3,97.6,99.7,87.6,97.9,100.1
長野県,97.3,94.2,90.7,101,96.5,102.7,98.3,100.4,94.2,97.8,101.8
岐阜県,97,97,84.6,94.8,94,102,99.8,100.7,92.2,98.1,99.6
静岡県,98.1,99.5,91.5,97.8,99.9,97.5,100.8,100.1,79.9,100.2,99.9
愛知県,98.4,98.6,92.3,97.7,98,99.7,100.2,98.6,96.6,100.8,98.5
三重県,98.3,99.5,91.7,98.7,98.6,98,99.5,99.3,98.6,96.7,98.7
滋賀県,99.9,99.1,92.9,100,97,108.8,100.7,101.5,109,97.7,100.3
京都府,100.6,100.4,93.4,99.8,101.9,96.4,98,102.4,110.9,102.6,100.9
大阪府,100.3,99.8,97.5,97.3,100.1,99,100,100.6,113.5,102.7,97.6
兵庫県,101.1,100.6,101.3,97.7,102.9,106.3,98.1,100.7,103,102,103.1
奈良県,97.3,94.8,86.7,100.3,99.6,96.5,99.8,101.3,94.7,99.7,100.6
和歌山県,99.9,101.2,95.8,100.5,101.4,97.5,101.2,99.8,102.7,98,99.4
鳥取県,98.5,102.3,83.7,102.2,103.1,104.1,100.1,98.5,79.6,95,98.4
島根県,100.1,102.1,87.5,108.2,100,102.6,98.8,100.3,98.2,96.2,100.9
岡山県,98.4,99.2,92.7,104.2,98.9,105.8,101.2,96.3,86.4,96.8,100.9
広島県,99.2,101.6,91.9,102.9,97.3,95.7,100.4,100,95.9,95.6,100.8
山口県,98.8,100.4,90.2,106.1,98,105.5,103.5,97.7,85.7,95.7,100.1
徳島県,98.8,100.4,87.5,101.2,101,104.9,98.6,97.6,98,97.9,99.3
香川県,98.5,98.1,88.4,102.8,99.9,95.4,99.9,102.3,91.9,96.7,102.6
愛媛県,98.4,99.4,86,103.8,103.3,99.2,101,98.6,90,99.4,97.1
高知県,99.2,102.8,88.6,99.5,98.8,98.4,101.5,99.4,94.4,96.7,99.7
福岡県,97.7,96.5,89.6,103.6,101.1,96.1,99.6,99,94.1,97.9,101.3
佐賀県,97.2,96.9,87.4,105.5,95.7,102.3,99,99.4,94.7,92.5,98.9
長崎県,100.4,99.8,98.4,108.6,100.7,109.9,100.8,100.4,92.1,95,101.3
熊本県,98.2,101.2,86.9,100.3,102.5,93.4,100.2,99.7,92.6,94.8,100.1
大分県,97.4,98.6,87.5,101.7,100,97.7,97.2,97.7,107.3,93.4,98.1
宮崎県,96.4,97.6,88,98.7,102.4,93.9,99.9,98.4,92.8,92.2,97.1
鹿児島県,96.7,99.8,86.8,98.7,93.2,91.4,100.3,99.8,90.8,92.6,96.9
沖縄県,98,102.3,89,99.2,97.1,100.4,102.3,97.8,93.7,96.1,94.2
