分類,項目,単位,2015年平均,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月
-,集計世帯数,(世帯),37,39,37,38,39,37,36,38,35,36,35,33,35
-,世帯人員 ,(人),3.55,3.41,3.44,3.4,3.45,3.46,3.5,3.59,3.59,3.71,3.68,3.75,3.65
-,有業人員 ,(人),1.67,1.6,1.63,1.57,1.71,1.67,1.67,1.77,1.75,1.7,1.63,1.7,1.7
-,世帯主の年齢 ,(歳),48.5,48.3,49.1,49.3,49.8,48.9,49.7,49.5,48.1,48.3,47.7,46.8,46.2
-,受取,(円),997262,1033577,1220504,1015622,965336,818668,936625,918436,740609,851833,982552,918091,1565296
実収入,実収入　,(円),495254,461803,513301,488860,432073,381930,505414,514992,348895,368360,447791,472706,1006929
実収入,経常収入,(円),488119,448632,506230,478770,426976,380849,500842,512023,343960,366431,437072,470280,985360
実収入,勤め先収入,(円),473199,435256,460857,470050,405874,380849,477110,512023,328611,365159,412078,464737,965780
実収入,世帯主収入,(円),433488,381142,419898,409570,363524,333151,437789,473067,313612,340868,381125,434753,913362
実収入,世帯主収入うち男 ,(円),396187,356168,393204,376547,329721,308161,415824,439758,271644,313321,343059,390872,815968
実収入,定期収入,(円),364854,373708,418264,406998,358738,332526,299264,311516,313026,337659,377986,430891,417674
実収入,臨時収入,(円),1713,980,1284,83,3659,624,361,610,586,3209,3140,3861,2160
実収入,賞与,(円),66921,6455,350,2489,1127,-,138164,160941,-,-,-,-,493527
実収入,世帯主の配偶者の収入,(円),33661,47394,33311,55226,40606,39693,32880,38956,14999,18840,23040,23640,35346
実収入,世帯主の配偶者の収入うち女 ,(円),33120,47394,33311,55226,40606,39693,32880,37100,12654,18840,23040,23640,33053
実収入,他の世帯員収入,(円),6049,6720,7648,5254,1745,8005,6441,-,-,5451,7913,6344,17072
実収入,事業・内職収入,(円),1235,3543,5008,3295,-,-,-,-,-,675,1188,1106,-
実収入,家賃収入,(円),817,3188,3326,3295,-,-,-,-,-,-,-,-,-
実収入,他の事業収入,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実収入,内職収入,(円),417,355,1683,-,-,-,-,-,-,675,1188,1106,-
実収入,他の経常収入,(円),13685,9834,40364,5425,21102,-,23732,-,15350,597,23806,4436,19579
実収入,財産収入,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実収入,社会保障給付,(円),13498,9459,40364,5425,21102,-,23732,-,15350,-,23192,4436,18918
実収入,仕送り金,(円),187,375,-,-,-,-,-,-,-,597,613,-,662
実収入,特別収入,(円),7136,13170,7071,10090,5097,1081,4572,2968,4935,1929,10719,2427,21569
実収入,受贈金,(円),2509,9922,3256,8324,2666,267,594,839,2129,383,160,686,878
実収入,他の特別収入,(円),4627,3248,3815,1766,2431,814,3978,2130,2806,1546,10559,1741,20691
