品目,単位,2015年平均(円),2015年1月(円),2015年2月(円),2015年3月(円),2015年4月(円),2015年5月(円),2015年6月(円),2015年7月(円),2015年8月(円),2015年9月(円),2015年10月(円),2015年11月(円),2015年12月(円)
うるち米（単一原料米・「コシヒカリ」）,1袋,2080,2026,2048,2052,2026,2017,2026,2134,2017,2079,2180,2178,2181
食パン,1kg,447,451,446,445,431,439,442,445,437,448,463,460,462
カップ麺,1個,151,146,151,151,150,150,150,150,151,150,150,154,152
まぐろ,100g,377,373,366,377,365,365,387,380,390,379,358,388,398
ぶり,100g,278,286,282,288,269,288,278,285,286,270,271,259,268
いか,100g,95,75,77,85,106,100,110,107,99,101,98,92,87
えび,100g,347,364,359,369,355,351,330,349,340,325,343,342,332
塩さけ,100g,173,190,182,180,174,167,162,155,166,174,177,171,178
しらす干し,100g,496,479,489,472,499,495,499,495,506,500,512,493,510
かまぼこ,100g,124,123,122,122,122,122,122,120,122,120,125,125,139
魚介漬物,100g,203,188,196,192,196,200,198,205,211,213,212,213,214
牛肉（ロース）,100g,916,928,940,938,916,863,885,944,925,903,881,901,967
豚肉（バラ）,100g,228,239,239,228,220,220,224,224,228,231,230,227,229
鶏肉,100g,137,145,146,143,137,131,137,132,135,136,134,130,134
ハム,100g,202,203,200,203,200,205,201,203,201,203,201,203,201
牛乳（店頭売り・紙容器入り）,1本,189,192,190,188,188,190,188,188,188,188,188,187,188
ヨーグルト,1kg,370,363,364,356,375,377,381,373,371,373,371,368,369
鶏卵,1パック,239,223,224,229,233,235,236,237,239,251,255,255,256
キャベツ,1kg,209,193,194,159,216,323,215,175,209,229,280,189,130
ねぎ（a）,1kg,1218,1162,973,920,930,1217,1144,1076,1359,1504,1584,1431,1319
レタス,1kg,519,697,531,530,510,436,364,357,549,630,814,389,417
じゃがいも,1kg,371,290,293,305,315,428,458,548,479,397,325,309,303
たまねぎ,1kg,250,242,229,228,240,255,294,306,309,262,218,201,212
きゅうり,1kg,579,702,641,632,669,493,504,497,484,640,577,488,622
トマト,1kg,659,584,621,722,702,673,613,606,593,726,788,673,604
干しのり,1袋,311,313,315,315,310,310,310,306,314,314,313,306,307
豆腐,1kg,233,235,235,235,235,231,234,230,226,234,234,235,235
キムチ,1kg,945,926,932,932,916,931,946,927,968,951,965,974,968
りんご（ふじ）,1kg,546,435,451,461,514,610,704,794,…,…,…,459,482
みかん,1㎏,577,574,616,636,…,…,…,…,…,"1,298",532,516,587
ぶどう（巨峰）,1㎏,1432,…,…,…,…,…,…,1955,1415,1208,1151,…,…
いちご,1kg,1739,1742,1756,1716,1588,1731,…,…,…,…,…,…,1899
バナナ,1kg,253,231,232,233,240,241,253,263,283,263,269,260,272
食用油,1本,300,313,299,295,304,289,302,297,297,297,304,302,305
風味調味料,100g,286,265,294,289,289,289,289,289,289,285,285,285,285
つゆ・たれ,1本,305,297,309,311,311,311,311,299,311,311,289,311,294
ケーキ,1個,427,417,421,421,421,421,421,421,421,433,442,442,442
チョコレート,1枚,96,89,88,90,87,86,87,93,103,111,108,108,106
アイスクリーム,1個,243,234,233,233,242,240,251,237,246,251,251,251,246
すし（弁当・にぎりずし）,1パック,643,635,590,590,590,652,652,652,669,666,666,673,685
コロッケ,100g,89,86,88,87,84,87,85,87,91,91,92,94,94
からあげ,100g,180,184,184,180,176,175,175,175,181,183,184,180,183
緑茶,100g,363,388,389,341,365,365,365,350,349,349,363,365,373
コーヒー飲料,"1,000mL",143,146,153,153,153,153,141,131,118,133,133,150,150
炭酸飲料,1本,94,96,94,96,96,91,94,96,96,94,94,94,94
ビール,1パック,1097,1108,1109,1106,1106,1100,1098,1099,1079,1099,1097,1088,1083
すし（外食・回転ずし）,1皿,129,124,124,124,124,124,124,133,133,133,133,133,133
ハンバーグ（外食）,1人前,1118,1098,1098,1098,1121,1121,1127,1127,1127,1127,1127,1127,1127
焼肉（外食）,1人前,826,826,826,826,826,826,826,826,826,826,826,826,826
ビール（外食）,1本,581,581,581,581,581,581,581,581,581,581,581,581,581
民営家賃（民営借家）,1か月・3.3m2,5306,5314,5307,5303,5298,5306,5294,5292,5295,5299,5323,5318,5329
大工手間代,1日,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500
灯油,18L,1581,1654,1618,1618,1618,1618,1618,1618,1618,1618,1539,1447,1384
水道料,1か月・20m3,2959,2959,2959,2959,2959,2959,2959,2959,2959,2959,2959,2959,2959
電気冷蔵庫,1台,166090,198975,182857,167734,158561,156725,159468,146112,141876,144288,143424,167743,225322
ルームエアコン,1台,195569,175823,193204,194072,212938,217672,215889,192631,185132,192505,197200,188560,181205
整理だんす,1本,62857,60277,60277,60277,63727,63727,64015,64015,64015,62965,62965,64015,64015
照明器具,1台,19436,34867,33049,33633,30195,31257,32913,33246,30307,30307,21024,19347,17938
布団,1枚,8456,8715,8715,8372,8372,8372,8835,8570,8603,8095,8275,8275,8275
皿,1枚,483,475,437,459,499,499,490,490,490,490,490,490,488
鍋,1個,1030,953,953,971,1094,1058,1058,1058,1022,1022,1058,1058,1058
タオル,1枚,380,451,410,410,392,392,395,338,374,374,378,360,360
トイレットペーパー,1パック,286,284,282,286,286,286,287,291,288,289,284,284,287
洗濯用洗剤,1kg,292,301,303,296,302,288,301,303,296,288,290,293,295
婦人用帯,1本,132836,107652,126767,126767,128433,123033,123033,123033,131367,145767,127767,165207,165207
男子用ズボン（夏物）,1本,12106,…,…,12710,12890,12890,12890,10717,10537,…,…,…,…
男子用ズボン（秋冬物）,1本,15239,13079,13079,…,…,…,…,…,…,15874,16468,16468,16468
ワンピース（春夏物）,1着,10725,…,…,12884,11930,11966,11955,8669,6944,…,…,…,…
ワンピース（秋冬物）,1着,14417,10468,9046,…,…,…,…,…,…,14879,17345,16679,18086
婦人用スラックス（ブルージーンズ）,1本,5746,8148,7878,7968,7652,7656,7631,4448,4391,3135,3528,3348,3170
男児用ズボン,1本,1746,1762,1792,1861,1645,1520,1741,1687,1710,1800,1746,1800,1890
女児用スカート,1枚,1614,1465,1661,1647,1557,1611,1611,1392,1503,1626,1734,1824,1734
男子用スポーツシャツ（半袖）,1枚,2149,…,…,…,2943,2133,2133,1893,1643,…,…,…,…
男子用セーター,1枚,5229,5512,5013,7506,…,…,…,…,…,4034,4501,4975,5065
婦人用Ｔシャツ（長袖又は７分袖）,1枚,1465,1298,1259,1139,…,…,…,…,…,1706,1636,1600,1622
婦人用セーター（長袖又は７分袖）,1枚,4849,3548,3624,3007,…,…,…,…,…,6415,7049,5472,4831
婦人靴,1足,8320,10087,10087,10087,10627,10627,10627,9115,5821,5821,5821,5821,5294
