主要耐久消費財,二人以上の世帯_年間収入階級_平均(%),二人以上の世帯_年間収入階級_200万円未満(%),二人以上の世帯_年間収入階級_200万円以上〜300万円未満(%),二人以上の世帯_年間収入階級_300万円以上〜400万円未満(%),二人以上の世帯_年間収入階級_400万円以上〜500万円未満(%),二人以上の世帯_年間収入階級_500万円以上〜600万円未満(%),二人以上の世帯_年間収入階級_600万円以上〜800万円未満(%),二人以上の世帯_年間収入階級_800万円以上〜1000万円未満(%),二人以上の世帯_年間収入階級_1000万円以上〜1250万円未満(%),二人以上の世帯_年間収入階級_1250万円以上〜1500万円未満(%),二人以上の世帯_年間収入階級_1500万円以上(%),うち勤労者世帯_年間収入階級_平均(%),うち勤労者世帯_年間収入階級_200万円未満(%),うち勤労者世帯_年間収入階級_200万円以上〜300万円未満(%),うち勤労者世帯_年間収入階級_300万円以上〜400万円未満(%),うち勤労者世帯_年間収入階級_400万円以上〜500万円未満(%),うち勤労者世帯_年間収入階級_500万円以上〜600万円未満(%),うち勤労者世帯_年間収入階級_600万円以上〜800万円未満(%),うち勤労者世帯_年間収入階級_800万円以上〜1000万円未満(%),うち勤労者世帯_年間収入階級_1000万円以上〜1250万円未満(%),うち勤労者世帯_年間収入階級_1250万円以上〜1500万円未満(%),うち勤労者世帯_年間収入階級_1500万円以上(%)
システムキッチン,58.3,32.9,37.7,46.6,54.3,60.2,68,73,73.6,76.2,78.6,64.4,28.3,36.6,46.1,55.6,62.4,70.2,75.8,75.5,78.7,84.2
太陽熱温水器,3.4,2.7,3.4,3.9,3.4,3.2,3.3,3.4,3.5,4.2,4.2,2.7,1.4,2,2.5,2.4,2.4,2.7,3,3.1,4,3.1
洗髪洗面化粧台,64.1,40.9,46.7,55.4,61.7,66.3,72.9,75,76.7,76.4,75.2,69.3,36.9,46.1,56.2,63.4,68.5,75.2,76.4,77.6,79.5,76.3
温水洗浄便座,70.6,45.9,55,65,68.9,72,76.3,80.7,81.7,85.7,85.2,71.5,34.2,43.7,56.1,64.9,70.5,75.9,80.3,81.6,87,89.1
床暖房,11.6,4.2,5.4,7.9,8.7,9.8,13,16.5,19.3,21,26.9,12.9,1.3,4.4,6,8,10.4,13.3,17.6,19.4,21.4,28.3
太陽光発電システム,6.6,2.7,2.5,3.6,6.4,7.5,8.9,9.1,8.6,11.4,10.1,8,2.3,2.7,4.5,7.1,8.3,9.6,9.4,9,12,10
高効率給湯器,23.9,11.5,15.3,19.5,23.8,24.9,28.9,28.2,29,26.6,33.8,25.4,9.5,12.1,17,23.1,24.9,29.4,28.6,29.2,27.5,36.1
家庭用コージェネレーションシステム,1,0.4,0.5,0.6,0.8,1,1,1.2,1.7,2,2.9,1,-,0.5,0.4,0.8,0.8,1.1,1.1,1.1,1.9,2.8
家庭用エネルギー管理システム,1.3,0.8,0.8,1.1,1.2,1.4,1.3,1.7,1.5,1.9,2.4,1.2,0.3,0.4,0.8,1,1.3,1.2,1.8,1.3,1.1,1.8
電子レンジ(電子オーブンレンジを含む),97.8,95.6,97.6,98.3,98.5,99,98.9,99.2,99.5,98.8,99.4,98.1,95.5,97.1,98.5,98.8,99,98.9,99.2,99.5,99.3,98.9
自動炊飯器(遠赤釜・IH型),89,83.7,86.5,88.8,89.3,90.5,91.6,91.3,91.6,88.5,92.6,90.6,85.3,88.2,91,91.6,91.4,91.9,91.9,91.9,89.6,94.6
冷蔵庫,98.9,99.2,99.5,99.6,99.7,99.5,99.6,99.8,99.8,99.6,99.7,98.8,98.5,99.5,99.5,99.7,99.4,99.6,99.8,99.8,99.6,99.4
電気掃除機,98.1,97.3,98.3,98.6,99.2,98.9,98.7,98.9,99.5,99.1,99.5,97.9,95,97.4,97.9,98.8,98.7,98.7,98.9,99.5,99,99.3
洗濯機,98.8,98.9,99.6,99.6,99.7,99.4,99.5,99.5,99.8,99.4,99.6,98.7,98.1,99.4,99.6,99.6,99.3,99.4,99.6,99.8,99.3,99.5
IHクッキングヒーター,23.9,11.5,15.4,19.4,24.1,26.3,28.7,27.4,28.9,28.3,30.9,25.1,10.4,12.2,17.4,23,27,29.2,26.9,29.1,27.7,29.3
食器洗い機,31,13.6,16.1,21.4,27.5,31.4,37.5,41.9,42.3,48.9,57.4,33.7,12.4,13.1,17.8,25.8,31.6,38,42.2,41.9,50.2,59.8
ホームベーカリー,24.1,13.4,15.1,19.5,23.4,25.1,29,30.4,32.5,30.8,30.2,27.6,18.2,15.7,22.1,25.1,26.4,30.9,31.1,33.7,32,30.6
ルームエアコン,90,85.1,86.9,88.5,89.6,90.7,91.9,93.3,93.8,94.6,95.4,89.6,84.9,83.1,85.6,87.2,89,91,93.4,93.2,94.7,95.9
空気清浄機,42,27.2,31.5,34.6,41.5,42.4,48.3,49,49.1,51.4,56.8,45.7,27.5,33.5,39,43.4,44.5,50,49.7,48.3,52.5,51.8
たんす(作り付けを除く),86.6,87.5,89.7,88.9,86.2,85.5,85.3,86.9,87.9,89.7,88.9,82.9,80.8,81,80.6,80.3,81.6,83.2,85.9,87.4,88.7,88.8
食堂セット(食卓と椅子のセット),79.3,66.9,72.4,77.2,77.9,79.2,82.3,84.8,88.2,89.7,93,77.7,60.9,62.9,66.8,72.5,75.8,80.5,84.4,88.3,89.8,94
食器戸棚(作り付けを除く),81.1,84.3,86.3,84.8,82.2,81.5,80,80.2,78.5,78.1,74.1,79.4,82.7,83.9,81.3,81.6,80.7,79.5,79.7,79,77.5,75.1
サイドボード・リビングボード,49.2,33.9,41.2,47.1,48.6,49.9,51.9,55.3,56.3,59.8,61.1,48.7,32.1,36.3,39.6,44.8,47.3,50.5,55.3,55.9,59.9,59.7
鏡台(ドレッサー),55.5,50.1,55.4,59,54.6,52.3,54.2,56.9,57.9,61.9,65.8,49.2,39.9,40.7,45,45.5,44,50.8,53.5,55.9,60.7,64
LED照明器具(電球・蛍光灯を除く),33,22.9,27.5,31.8,34.2,33,34.4,36.7,38.1,37.6,39.8,32.9,19,25.1,29.7,32.3,31.9,33.4,36.8,37,36.6,38.4
ベッド・ソファーベッド(作り付けを除く),71.9,58.3,61.8,66.7,69.3,73.1,76.7,79.8,80.8,87.4,87.1,72.6,59.4,56.6,62.3,67.1,71.4,75.8,79.7,79.5,88.8,86.2
自動車,84.8,67.5,75.7,80.7,85.5,89.3,91.2,92.3,92.1,88.3,88.5,88.7,74.4,79.5,83.9,88.4,90.8,92.1,92.7,93.6,90.1,90.2
オートバイ・スクーター,13.5,11.2,11.6,12.2,13.5,14.4,14.5,15.3,16.1,14.7,12.8,14.9,11.6,12.5,14.8,15.4,15.7,15.1,15.8,16.5,14.6,13.6
電動アシスト自転車,9.2,6.7,8.2,8.2,8.2,8.4,9.5,10.8,10.3,12.4,13.9,9.1,3.9,7.2,7.4,7.1,8.2,9.4,11.1,10.4,11.2,16.2
カーナビゲーションシステム,61,30.9,37.3,47.2,58.5,67,73,76.8,79.8,80.6,79,69,34.8,40.4,53.6,62.3,69.7,75.3,78.6,82.5,83.2,82.4
スマートフォン,58.3,32.2,32.9,37.1,53.3,65,72.3,77,81.2,82.5,78.7,75.5,58.4,63,65.5,69.4,75.9,78.9,82,85.2,86.9,87.9
"携帯電話(PHSを含み,スマートフォンを除く)",72.4,72.4,77.2,78.4,73.8,70.3,68.7,70.2,70.7,72.1,73.2,64.9,65,66.6,64.6,65.4,62.4,63.6,66.9,67.9,70.1,67.8
テレビ,98.4,98.3,99.2,99.2,99.2,98.9,99.2,99.2,99.4,99.6,99.7,98.2,97.2,99,99,99.1,98.6,99,99.1,99.3,99.6,99.6
ビデオレコーダー(DVD・ブルーレイを含む),79.2,60.2,65,72.7,78.5,82.4,86.4,89.6,89.6,92.1,90.3,85.1,69,73.6,78.6,82.6,84.5,88.3,91.1,90.8,93,91.7
"ホームシアター(プロジェクター,スクリーン,スピーカーのセット)",2.6,0.6,1.2,1.7,2.1,2.4,3.4,3.5,4,4.2,6.5,3,0.5,0.9,1.6,2.2,2.6,3.7,3.2,3.8,4.6,5.5
パソコン(デスクトップ型),39,22.6,27.5,32.5,37.4,39.4,44.7,46.4,47.9,52.2,53.8,41.3,22,29.5,33,36.4,38.9,44.3,45.6,48.1,50.6,56.6
パソコン(ノート型(モバイル・ネットブックを含む)),62.5,35.7,41.2,50,60.8,66.1,72.4,77.4,80.3,83.6,79.2,70.1,42.2,47.8,55.4,64.1,68.5,75,79.4,82.2,86.4,85.1
タブレット端末,22.3,9.6,11.4,13.6,17.9,23.4,26.9,30,35,39.5,37.9,27.7,13.5,17.7,19,21.3,27,29.1,31.4,37.5,41.2,42.5
カメラ,83.4,60.3,71.4,79.3,83.9,86.7,90.3,91.1,92.5,94,94.5,86.4,62.8,68.9,77,83.3,87.2,91.1,92.1,93.7,95.3,96.2
ビデオカメラ,42.7,16.7,21.3,29.3,40.2,47,55.2,58.5,58.9,57.2,55.2,55.4,27.4,32.6,43.4,51,56.3,61.8,63.8,63,60.9,65.1
ピアノ・電子ピアノ,30.9,14.4,17.8,22.8,25.7,29.5,36.1,42.5,46,50.7,54.2,33.4,17.6,16.2,20.7,23.6,27.9,35.5,43.3,47.3,52.2,59.3
書斎・学習用机(ライティングデスクを含む),60.7,37.9,43.2,52.6,58.8,63.5,68,73.1,75.8,77.6,80.3,63.9,45.5,44.5,47.5,56,61.4,68,74.1,77.1,78.4,83.9
