項目,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
総額,932922425,930639982,951570697,970140045,984697752
人件費,287889845,285229806,269697609,280287386,279358237
人件費_基本給,140148009,138935646,130458062,136288599,135933879
人件費_その他,147741836,146294160,139239547,143998787,143424358
物件費,30172219,28542275,30679826,31278720,30494081
維持補修費,3467898,3184475,3363867,3372259,3249556
扶助費・補助費等,261935405,266927851,263151832,297170515,334688168
普通建設事業費,94293477,102490165,117020263,108836965,95816296
普通建設事業費_補助事業費,41177595,41184594,53944849,43739371,39936095
普通建設事業費_単独事業費,41420477,37798073,44170595,49529879,45783984
普通建設事業費_国直轄事業費負担金,11695405,23507498,18904819,15567715,10096217
災害復旧事業費,818196,1994602,3378110,8860869,5363817
災害復旧事業費_補助事業費,752368,1453626,1935585,7470254,4878947
災害復旧事業費_単独事業費,41000,523672,1163011,1182284,484868
災害復旧事業費_国直轄事業費負担金,24828,17304,279514,208331,2
出資金・貸付金,129800944,109477866,120330695,113210921,108710071
公債費,98347832,105020252,113769530,116872443,115761073
繰出金,5437084,4948493,4428997,4081177,4061747
積立金,20759525,22824197,25749968,6168790,7194706
繰上充用金,-,-,-,-,-
