事業,項目,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
電気事業,営業収益,390127,347516,357687,426141,408644
電気事業,営業費用,379274,408777,462977,440239,654106
電気事業,営業利益 (-は営業損失),10853,-61261,-105290,-14098,-245462
電気事業,営業外収益・財務収益,6538,8381,74770,35043,111739
電気事業,営業外費用・財務費用,12000,9489,10247,6323,4699
電気事業,経常利益(-は経常損失),5391,-62369,-40767,14622,-138422
電気事業,特別利益,-,-,-,17051,263
電気事業,特別損失,-,-,-,79674,-
電気事業,当年度純利益(-は当年度純損失),5391,-62369,-40767,-48001,-138159
水道事業,営業収益,4856661,4832674,4773784,4762409,4369649
水道事業,営業費用,4322971,4044946,4100809,4103813,4261716
水道事業,営業利益 (-は営業損失),533690,787728,672975,658596,107933
水道事業,営業外収益・財務収益,565297,136609,121392,585865,554297
水道事業,営業外費用・財務費用,1273689,1022728,953933,839190,765478
水道事業,経常利益(-は経常損失),-174702,-98391,-159566,405271,-103248
水道事業,特別利益,-,-,-,50244,-
水道事業,特別損失,-,-,-,1015509,-
水道事業,当年度純利益(-は当年度純損失),-174702,-98391,-159566,-559994,-103248
工業用水道事業,営業収益,209782,211187,210197,212747,214232
工業用水道事業,営業費用,189235,200141,194731,264346,247126
工業用水道事業,営業利益 (-は営業損失),20547,11046,15466,-51599,-32894
工業用水道事業,営業外収益・財務収益,1992,1865,2029,58933,54665
工業用水道事業,営業外費用・財務費用,1087,1000,911,818,722
工業用水道事業,経常利益(-は経常損失),21452,11911,16584,6516,21049
工業用水道事業,特別利益,-,-,-,17560,-
工業用水道事業,特別損失,-,-,-,3603,-
工業用水道事業,当年度純利益(-は当年度純損失),21452,11911,16584,20473,21049
病院事業,営業収益,6831846,6947392,1643203,1687324,1714896
病院事業,営業費用,8160043,8146782,2320361,2335460,2501911
病院事業,営業利益 (-は営業損失),-1328197,-1199390,-677158,-648136,-787015
病院事業,営業外収益・財務収益,1375290,1307400,663313,619511,694145
病院事業,営業外費用・財務費用,465468,439035,38707,54050,54634
病院事業,経常利益(-は経常損失),-418375,-331025,-52552,-82675,-147504
病院事業,特別利益,60991,47534,97971,22050,890
病院事業,特別損失,60633,49250,4614586,102485,1647
病院事業,当年度純利益(-は当年度純損失),-418017,-332741,-4569167,-163110,-148261
