西暦,和暦,税の種類,予算額(A)(千円),調定額(B)(千円),収入額(C)(千円),不納欠損額(千円),滞納繰越額(千円),C/A×100(%),徴収率C/B×100(%)
2011年度,平成23年度,合計,238679000,246078879,239071204,548628,6710958,100.2,97.2
2012年度,平成24年度,合計,234732000,241228677,234625675,491970,6437175,100,97.3
2013年度,平成25年度,合計,242385000,248932807,242765609,489102,5879673,100.2,97.5
2014年度,平成26年度,合計,250709000,256250802,251009808,450578,5158541,100.1,98
2015年度,平成27年度,合計,284546039,290364235,286049322,463078,4501204,100.5,98.5
2015年度,平成27年度,府民税,115711926,118606669,115547509,342722,2800255,99.9,97.4
2015年度,平成27年度,府民税_個人,99808528,102746289,99724248,330225,2691816,99.9,97.1
2015年度,平成27年度,府民税_法人,13777230,13883848,13846729,12497,108439,100.5,99.7
2015年度,平成27年度,府民税_利子割,2126168,1976532,1976532,-,0,93,100
2015年度,平成27年度,事業税,61854752,62990631,63238499,16836,295815,102.2,100.4
2015年度,平成27年度,事業税_個人,3716989,3839334,3732830,8627,98245,100.4,97.2
2015年度,平成27年度,事業税_法人,58137763,59151297,59505669,8209,197570,102.4,100.6
2015年度,平成27年度,地方消費税,53381609,53382603,53382603,-,-,100,100
2015年度,平成27年度,地方消費税_譲渡割,51834956,51835948,51835948,-,-,100,100
2015年度,平成27年度,地方消費税_貨物割,1546653,1546655,1546655,-,-,100,100
2015年度,平成27年度,不動産取得税,8417722,9194249,8630301,28071,539642,102.5,93.9
2015年度,平成27年度,府たばこ税,2816183,2811148,2811148,-,-,99.8,100
2015年度,平成27年度,ゴルフ場利用税,804203,828896,828896,-,-,103.1,100
2015年度,平成27年度,自動車取得税,2597748,2595458,2595095,185,198,99.9,100
2015年度,平成27年度,軽油引取税,13669891,13947418,13682021,41,265356,100.1,98.1
2015年度,平成27年度,自動車税,25218378,25930512,25260940,75216,595604,100.2,97.4
2015年度,平成27年度,鉱区税,625,696,543,7,146,86.9,78
2015年度,平成27年度,狩猟税,21792,20255,20255,-,-,92.9,100
2015年度,平成27年度,産業廃棄物税,50878,51272,51272,-,-,100.8,100
2015年度,平成27年度,旧法による税,332,4428,240,-,4188,72.3,5.4
2015年度,平成27年度,旧法による税_特別地方消費税,144,-,-,-,-,-,-
2015年度,平成27年度,旧法による税_自動車取得税,5,-,-,-,-,-,-
2015年度,平成27年度,旧法による税_軽油引取税,183,4428,240,-,4188,131.1,5.4
