西暦,和暦,税務署等,総額(千円),直接税_所得税_源泉分(千円),直接税_所得税_源泉分及復興特別分(千円),直接税_所得税_申告分(千円),直接税_所得税_申告分及復興特別分(千円),直接税_法人税(千円),直接税_復興特別法人税(千円),直接税_相続・贈与税(千円),間接税_消費税(千円),間接税_消費税及地方消費税(千円),間接税_酒税(千円),間接税_たばこ税及たばこ特別税(千円),間接税_揮発油税及地方道路税(千円),間接税_揮発油税及地方揮発油税(千円),その他(千円)
2010年度,平成22年度,合計,737736497,206287038,…,50574831,…,182580363,…,36190335,2069,200796913,55569016,24207,X,X,5695258
2011年度,平成23年度,合計,717356956,205971701,…,52632907,…,167001487,…,34187759,2423,199139414,53469640,4132,13565,※「揮発油税及地方道路税」に含む。,4933929
2012年度,平成24年度,合計,705022067,167103549,33269839,52536034,88,152997819,7628160,35546593,2843,197716142,53409347,153,11513,※「揮発油税及地方道路税」に含む。,4799987
2013年度,平成25年度,合計,760731026,1870604,217222837,3247448,53819592,177534585,19864214,32269625,3674,196368228,53426227,-,X,※「揮発油税及地方道路税」に含む。,X
2014年度,平成26年度,合計,1012911607,771014,240176503,1535369,58774733,195099756,7491137,165321454,1006,286653320,53145300,343,12230,※「揮発油税及地方道路税」に含む。,3929442
2014年度,平成26年度,上京税務署,83735166,74817,27927478,110842,6812137,20733607,294422,4075840,-,23397687,X,-,-,※「揮発油税及地方道路税」に含む。,X
2014年度,平成26年度,左京税務署,176051807,34155,14233899,125292,8054503,6178832,479033,136052349,-,10832644,X,-,-,※「揮発油税及地方道路税」に含む。,X
2014年度,平成26年度,中京税務署,88070821,50298,29030445,168164,4503725,19074241,1048971,1743363,-,32189369,X,-,-,※「揮発油税及地方道路税」に含む。,X
2014年度,平成26年度,東山税務署,43563813,75171,12407594,172544,4174756,6273016,341461,3554158,800,16439398,-,-,-,※「揮発油税及地方道路税」に含む。,124916
2014年度,平成26年度,下京税務署,236530287,154036,69200823,92263,4833130,64052722,2838511,2783987,-,90551333,X,-,X,※「揮発油税及地方道路税」に含む。,2023473
2014年度,平成26年度,右京税務署,158175088,112331,28242058,298298,11764273,45693679,681834,7233376,55,29997664,X,-,X,※「揮発油税及地方道路税」に含む。,508393
2014年度,平成26年度,伏見税務署,94920354,126949,23111594,159997,5276843,13810485,627303,3851804,60,28451051,19331616,343,-,※「揮発油税及地方道路税」に含む。,172309
2014年度,平成26年度,福知山税務署,19246600,13997,5469488,45871,1064794,3118647,196136,408272,-,8860614,12176,-,-,※「揮発油税及地方道路税」に含む。,56606
2014年度,平成26年度,舞鶴税務署,10568381,7427,3840516,21965,977168,1053606,53783,531890,-,4066348,1563,-,-,※「揮発油税及地方道路税」に含む。,14116
2014年度,平成26年度,宇治税務署,74267410,93590,19396728,227569,8092030,11443557,698664,3774350,13,30133919,19373,-,X,※「揮発油税及地方道路税」に含む。,X
2014年度,平成26年度,宮津税務署,4685770,6227,1311854,28193,443934,430766,31671,237011,-,2156841,27985,-,-,※「揮発油税及地方道路税」に含む。,11287
2014年度,平成26年度,園部税務署,16610590,10162,4093879,60457,2327454,2683998,163081,480336,78,6711005,41134,-,-,※「揮発油税及地方道路税」に含む。,39006
2014年度,平成26年度,峰山税務署,6485518,11854,1910146,23915,449986,552601,36268,594719,-,2865446,36327,-,-,※「揮発油税及地方道路税」に含む。,4257
