項目,区分,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
歳入総額,歳入,613799904,689194353,687729717,632593655,674518218
母子父子寡婦福祉資金貸付事業,歳入,599152,641737,725232,855135,1003944
国民健康保険事業,歳入,143505040,147619830,150502636,151222728,174161801
介護保険事業,歳入,100915184,107691472,112031448,118725129,123659806
老人保健,歳入,-,-,-,-,-
後期高齢者医療,歳入,15395743,16431438,16722100,17208422,17349992
地域水道,歳入,1075291,913455,949612,1326122,967980
京北地域水道,歳入,736221,934105,1608675,2215023,2685059
特定環境保全公共下水道,歳入,1639801,1498450,1423317,1244617,562813
中央卸売市場第一市場,歳入,2613230,2690097,2723725,2957637,3113314
中央卸売市場第二市場・と畜場,歳入,780955,784748,769409,843215,932970
農業集落排水事業,歳入,45077,43442,41484,44012,46086
土地区画整理事業,歳入,275094,453121,708502,620315,794705
駐車場事業,歳入,2178092,2133910,2134930,1977305,1562845
市街地再開発事業,歳入,-,-,-,-,-
土地取得,歳入,10886721,15545989,8605056,3773727,5344650
基金,歳入,56834051,73605150,76516915,-,-
市公債,歳入,270006998,308784859,307830622,325284104,338144993
市立病院機構病院事業債,歳入,3584095,7729647,3275696,3349030,3672363
定額給付金給付事業,歳入,-,-,-,-,-
雇用対策事業,歳入,2729162,1692903,1160358,947134,514897
歳出総額,歳出,615100279,687267584,684181569,627614243,670937013
母子父子寡婦福祉資金貸付事業,歳出,368693,331049,302242,265668,260369
国民健康保険事業,歳出,147198760,148585633,149831338,149818305,174390696
介護保険事業,歳出,100477241,107072237,111429453,117683227,122897535
老人保健,歳出,-,-,-,-,-
後期高齢者医療,歳出,14879729,15829319,16122896,16579431,16845594
地域水道,歳出,1030462,844272,921806,1323122,965192
京北地域水道,歳出,728437,917553,1560037,2213023,2668724
特定環境保全公共下水道,歳出,1637394,1496883,1416999,1244617,562813
中央卸売市場第一市場,歳出,2188377,2266783,2139831,2177426,2095255
中央卸売市場第二市場・と畜場,歳出,780955,751148,769409,843215,899970
農業集落排水事業,歳出,45077,43434,41484,44012,46086
土地区画整理事業,歳出,70845,25690,159159,93177,72620
駐車場事業,歳出,2178092,2133910,2134930,1977305,1559680
市街地再開発事業,歳出,-,-,-,-,-
土地取得,歳出,10384199,15237705,8604208,3772124,5341567
基金,歳出,56816987,73526336,76482389,-,-
市公債,歳出,270004413,308783781,307830521,325283466,338144294
市立病院機構病院事業債,歳出,3584095,7729647,3275696,3349030,3672363
定額給付金給付事業,歳出,-,-,-,-,-
雇用対策事業,歳出,2726524,1692206,1159172,947095,514255
