事業,項目,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
水道事業,1_営業収益,28280043,27851726,28973174,29512650,29532433
水道事業,2_営業費用,24086529,24180604,24055157,23216758,23269316
水道事業,3_営業損益(1-2),4193514,3671122,4918017,6295892,6263117
水道事業,4_営業外収益,239553,220625,235753,2271860,2220994
水道事業,5_営業外費用,3740484,3549859,3182739,3051822,2915560
水道事業,6_経常損益(3+4-5),692583,341888,1971031,5515930,5568551
水道事業,7_特別損益,-,-5842598,-,-6060812,-
水道事業,8_当年度純損益(6+7),692583,-5500710,1971031,-544882,5568551
公共下水道事業,1_事業収益,45444410,44469811,43661507,42919103,42942316
公共下水道事業,2_事業費用,32835363,32570100,32587681,39465844,39806936
公共下水道事業,3_事業損益(1-2),12609047,11899711,11073826,3453259,3135380
公共下水道事業,4_事業外収益,623002,440716,310816,8191658,8182189
公共下水道事業,5_事業外費用,9607127,8905487,7360826,6991099,6585806
公共下水道事業,6_経常損益(3+4-5),3624922,3434940,4023816,4653818,4731763
公共下水道事業,7_特別損益,-,-,-,-3524435,-
公共下水道事業,8_当年度純損益(6+7),3624922,3434940,4023816,1129383,4731763
自動車運送事業,1_営業収益,18748302,18821671,18916249,19655888,20406260
自動車運送事業,2_営業費用,17465410,16831644,16633989,17399688,18182972
自動車運送事業,3_営業損益(1-2),1282892,1990027,2282260,2256200,2223288
自動車運送事業,4_営業外収益,1857221,824852,664572,395283,371317
自動車運送事業,5_営業外費用,247281,213944,199674,245197,213588
自動車運送事業,6_経常損益(3+4-5),2892832,2600935,2747158,2406287,2381017
自動車運送事業,7_特別損益,-,12475,108276,-3907705,-
自動車運送事業,8_当年度純損益(6+7),2892832,2613410,2855434,-1501418,2381017
高速鉄道事業,1_営業収益,23866586,24439958,25284796,25864707,26897241
高速鉄道事業,2_営業費用,24051327,24039961,23528510,24465305,24647917
高速鉄道事業,3_営業損益(1-2),-184741,399997,1756286,1399402,2249324
高速鉄道事業,4_営業外収益,3543134,4299498,3152972,6123185,6369276
高速鉄道事業,5_営業外費用,10107789,9539983,8964669,8385169,7771051
高速鉄道事業,6_経常損益(3+4-5),-6749396,-4840488,-4055411,-862582,847549
高速鉄道事業,7_特別損益,-878383,264819,-2175027,-3633021,-
高速鉄道事業,8_当年度純損益(6+7),-7627779,-4575669,-6230438,-4495603,847549
