地域コード,地域等,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円),2015年度_地方税(千円),2015年度_地方交付税(千円),2015年度_分担金及び負担金(千円),2015年度_使用料(千円),2015年度_手数料(千円),2015年度_国庫支出金(千円),2015年度_府支出金(千円),2015年度_財産収入(千円),2015年度_寄附金(千円),2015年度_繰入金(千円),2015年度_繰越金(千円),2015年度_地方債(千円),2015年度_その他(千円)
-,歳入総額,1230226993,1221396344,1196891368,1223075418,1226412285,404315705,157952800,12590346,22712389,8100787,197380769,72939138,6182234,7927638,13517823,19245145,138135795,165411716
26100,京都市,765828272,749496555,720508083,726716715,732271931,252959966,50320765,6976961,14090658,5480295,128738340,36787834,4113979,5477129,5419149,8574694,87601000,125731161
-,14市計,398656440,406512309,408644856,425435058,421600252,131745931,86127173,5287314,6932446,2419115,62004514,31382032,1798454,2214531,6601477,8751113,41755161,34580991
26201,福知山市,42654138,46304467,43498175,44547897,43997192,11615991,11122245,651439,693577,526441,5611190,3712569,422633,132641,666487,1399301,4608700,2833978
26202,舞鶴市,36422079,36984242,36601993,37955838,35248052,12531648,5621496,378926,384440,215910,5628688,2928116,115459,11332,200300,320438,3295046,3616253
26203,綾部市,16059046,17633735,17961447,18552703,16795436,4282786,4743317,252483,210807,248659,1897953,1878799,17939,61612,663474,145576,1161800,1230231
26204,宇治市,60856996,59838055,60828181,60726462,60686492,23326080,6722160,833451,1323777,130714,11156846,4523811,64747,129131,363130,450605,4268500,7393540
26205,宮津市,11967287,11441344,11998375,11213039,11361650,2569431,3872432,204594,176566,156381,1286408,978010,32739,27725,181733,136431,966848,772352
26206,亀岡市,33778637,35029252,33217162,36501891,35206926,9899979,7157936,502521,468196,368618,5654409,2844906,386225,24639,671150,534317,4171999,2522031
26207,城陽市,25682315,25779134,24451697,25006503,26695365,8675689,4578481,259612,505277,37816,3858228,1882210,115639,131601,817385,58608,3104044,2670775
26208,向日市,17411031,17286473,17472332,18729641,18054930,7320118,2683562,162207,229893,34012,2911454,1334695,33592,90004,55187,455541,1262300,1482365
26209,長岡京市,25718630,25139182,28046872,28361021,30100296,13219650,2429379,372424,523154,45954,4404144,1775801,26501,23001,375683,923265,3573400,2407940
26210,八幡市,25058476,25043824,26750206,28122926,27613005,9351931,3937424,243202,447289,40009,4995939,2290849,38165,7569,866729,498268,2844500,2051131
26211,京田辺市,21365058,22573589,23578359,24991520,24942713,10449844,2792662,523905,451691,105577,3735908,1603413,175150,7069,273356,631811,2064000,2128327
26212,京丹後市,33778670,33455998,33386281,39124262,35783648,5073357,14842906,142005,373105,401135,3901979,2516091,199526,942975,588752,1508749,3240600,2052468
26213,南丹市,23452103,23128093,23657846,25641002,24538730,4195289,9825378,46108,526577,27033,2101920,1466292,105567,3774,264585,1031834,3478100,1466273
26214,木津川市,24451974,26874921,27195930,25960353,30575817,9234138,5797795,714437,618097,80856,4859448,1646470,64572,621458,613526,656369,3715324,1953327
-,町村計,65742281,65387480,67738429,70923645,72540102,19609808,21504862,326071,1689285,201377,6637915,4769272,269801,235978,1497197,1919338,8779634,5099564
26303,大山崎町,5771086,5298856,5331067,5480347,5483298,2505019,598923,16726,156293,11147,515186,382973,17931,34216,36654,115170,618100,474960
26322,久御山町,6818814,6848853,6909992,6757097,6961979,4552949,10166,21386,155887,10829,488459,415506,50132,37007,82533,234576,95700,806849
26343,井手町,3938757,4098382,4818262,4857713,4515825,894683,1714396,5726,73195,4683,348341,302571,42257,1964,225419,408312,224500,269778
26344,宇治田原町,3839348,3821025,4457274,4310281,4703957,1586332,950451,18610,75804,5797,490191,317324,9369,2288,208701,180794,510856,347440
26364,笠置町,1387294,1403716,1363604,1469375,1474979,158397,794745,44621,11586,10502,91639,88052,367,958,22886,26470,110265,114491
26365,和束町,3131835,3161668,3275529,3361660,3859201,377844,1698286,67684,31221,15302,395015,334583,1357,1106,121273,132763,497300,185467
26366,精華町,11976779,11630112,11574151,13339781,14644506,5388287,1948288,69138,326082,29398,1912611,748704,10369,20194,597496,173707,2386000,1034232
26367,南山城村,2464507,2371833,2823579,2535568,2686617,308727,1318862,24754,90571,12456,226986,182641,1512,2878,70000,30070,174900,242260
26407,京丹波町,11794339,12479928,12649210,13340739,11974501,1842752,5320111,19112,362162,11375,878705,818173,94755,25369,47952,321590,1542600,689845
26463,伊根町,2755606,2674568,3228214,3760480,3509978,164114,1569904,5366,82788,15962,203883,242500,16339,4589,82867,155655,858888,107123
26465,与謝野町,11863916,11598539,11307547,11710604,12725261,1830704,5580730,32948,323696,73926,1086899,936245,25413,105409,1416,140231,1760525,827119
