地域コード,地域等,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円),2015年度_議会費(千円),2015年度_総務費(千円),2015年度_民生費(千円),2015年度_衛生費(千円),2015年度_労働費(千円),2015年度_農林水産業費(千円),2015年度_商工費(千円),2015年度_土木費(千円),2015年度_消防費(千円),2015年度_教育費(千円),2015年度_災害復旧費(千円),2015年度_公債費(千円),2015年度_その他(千円)
-,歳出総額,1212705895,1204618293,1177009697,1201852936,1210041750,7154616,112742190,463546166,87109388,1428666,15229551,83182641,121375293,40705404,120142453,5216210,138214215,13994957
26100,京都市,759489311,742769786,712639776,717083021,727053787,2181978,49303039,293576270,41744412,579910,2144037,72995577,73708820,20381184,67498159,1869547,87163365,13907489
-,14市計,389534584,398576753,398924111,415953707,412837301,3989461,51734625,151916411,38814296,769914,10248294,8775633,39833003,16072356,44023769,3012970,43569471,77098
26201,福知山市,40896259,45432380,41882667,42719445,43005022,320304,6388749,13715272,4609297,54598,2344819,395470,3214918,1396279,3057876,1758434,5749006,0
26202,舞鶴市,34796132,36066019,35968448,37635400,34825146,384377,4160529,12472380,3492631,58837,1070107,1549774,4272434,1298288,2647120,16777,3401892,0
26203,綾部市,15894591,17510359,17803528,18407127,16752439,202002,2170385,5351517,2003712,78465,933035,408637,1259070,700604,1679509,410347,1555156,0
26204,宇治市,60283229,58818958,60211053,60274770,60283867,468745,4962431,27541828,4345855,89568,282093,2018727,7376134,2098108,5517055,127213,5456110,0
26205,宮津市,11926324,11406601,11847872,11076608,11265332,163135,1798107,3287475,1179917,30657,438948,281657,1074861,506657,795265,0,1708653,0
26206,亀岡市,32809597,34352140,32573121,35967574,34752918,321975,3949957,12570675,3693544,37816,1049966,474105,3603814,1240975,3370459,218846,4220786,0
26207,城陽市,25612601,25732104,24336061,24947895,26603807,274928,3761295,10690830,1587540,57202,94327,587411,3087088,867071,2657791,0,2885297,53027
26208,向日市,16947850,16855895,16811231,18274100,17237938,243155,1877467,7970330,1468453,37156,119743,199975,1485516,772635,2005170,0,1058338,0
26209,長岡京市,24903317,24332421,27265529,27437756,29030491,317991,4073795,11473676,2303498,183654,141275,338710,2434356,1021541,4629051,0,2112944,0
26210,八幡市,24659160,24379182,25640945,27324658,26998402,303131,3734822,12636027,1771757,70289,180265,268974,2472482,722947,2929407,10092,1898209,0
26211,京田辺市,20971628,22017032,22666429,24359709,23981979,238167,2456186,9200005,1501238,26541,462445,186089,2412733,1225557,3750998,0,2522020,0
26212,京丹後市,33109205,32909387,32483063,37615513,34362648,259458,5688587,9400781,3885343,37086,1713626,1742239,2525174,1149445,3160395,46290,4754224,0
26213,南丹市,22893534,22519477,22720882,24609168,23763602,256944,4013128,5621323,1821765,8045,1185978,145933,2511233,1924201,2441424,386172,3426634,20822
26214,木津川市,23831157,26244798,26713282,25303984,29973710,235149,2699187,9984292,5149746,0,231667,177932,2103190,1148048,5382249,38799,2820202,3249
-,町村計,63682000,63271754,65445810,68816208,70150662,983177,11704526,18053485,6550680,78842,2837220,1411431,7833470,4251864,8620525,333693,7481379,10370
26303,大山崎町,5635786,5094464,5080878,5365177,5400540,124095,856957,1885762,477098,29851,29737,41347,399597,445683,624284,1348,484781,0
26322,久御山町,6622092,6572544,6701663,6522521,6689011,130406,1248273,2120759,475633,5533,143366,209552,604198,322371,955909,0,473011,0
26343,井手町,3566798,3659755,4288859,4449401,4103109,61960,976940,1143203,240800,0,41750,58691,771232,238671,293932,23488,252442,0
26344,宇治田原町,3714066,3675956,4280333,4129487,4513526,91603,685321,1192718,327272,612,128268,65772,838418,250561,481995,69670,381316,0
26364,笠置町,1315989,1349757,1304918,1425605,1364364,51014,402772,337324,131183,0,20018,77584,111326,64022,66234,3287,99600,0
26365,和束町,3032475,3075321,3155321,3228897,3735095,53377,787339,775342,421111,0,178006,72034,564363,181644,186094,20886,494899,0
26366,精華町,11847287,11567080,11485319,13136074,14510433,138448,1887977,4179226,1329570,2573,80406,129930,1557243,1176091,2565443,0,1463526,0
26367,南山城村,2433086,2317556,2735889,2475498,2588917,55524,576543,414724,339027,0,337166,2856,139159,174457,163084,40348,346029,0
26407,京丹波町,11262466,12070518,12292664,13019149,11461740,106593,1893327,2363182,1570838,80,1050498,223375,1117023,679785,857644,169922,1429473,0
26463,伊根町,2642654,2521522,3046892,3604825,3323295,46441,752136,461949,226215,16034,335853,190598,369912,159226,447771,1080,316080,0
26465,与謝野町,11609301,11367281,11073074,11459574,12460632,123716,1636941,3179296,1011933,24159,492152,339692,1360999,559353,1978135,3664,1740222,10370
