西暦,和暦,組織,消防署数(署),出張所数(所),消防吏員数(人),消防吏員数_消防司監(人),消防吏員数_消防正監(人),消防吏員数_消防監(人),消防吏員数_消防司令長(人),消防吏員数_消防司令(人),消防吏員数_消防司令補(人),消防吏員数_消防士長(人),消防吏員数_消防副士長(人),消防吏員数_消防士(人),その他の職員数(人)
2011年,平成23年,合計,31,64,3349,1,9,29,151,498,912,898,284,567,60
2012年,平成24年,合計,31,64,3357,1,9,27,150,497,884,923,266,600,51
2013年,平成25年,合計,31,64,3344,1,9,30,151,505,876,902,272,598,43
2014年,平成26年,合計,31,64,3340,1,10,28,150,508,879,928,262,574,42
2015年,平成27年,合計,31,64,3323,1,10,32,152,493,888,943,277,527,44
2015年,平成27年,京都市消防局,11,37,1772,1,9,21,98,249,473,583,81,257,31
2015年,平成27年,福知山市消防本部,1,2,124,-,-,1,5,16,27,28,3,44,1
2015年,平成27年,舞鶴市消防本部,2,1,134,-,-,1,4,17,24,44,12,32,-
2015年,平成27年,綾部市消防本部,1,-,52,-,-,-,1,3,17,8,5,18,1
2015年,平成27年,宇治市消防本部,3,2,211,-,1,5,7,16,26,70,53,33,1
2015年,平成27年,城陽市消防本部,1,2,87,-,-,-,1,9,25,17,20,15,3
2015年,平成27年,八幡市消防本部,1,-,69,-,-,-,1,11,24,15,8,10,-
2015年,平成27年,京田辺市消防本部,1,3,100,-,-,1,8,17,43,10,13,8,1
2015年,平成27年,京丹後市消防本部,1,3,96,-,-,-,1,10,27,36,9,13,1
2015年,平成27年,久御山町消防本部,1,-,36,-,-,-,1,5,7,6,5,12,-
2015年,平成27年,精華町消防本部,1,-,51,-,-,-,1,9,13,14,9,5,-
2015年,平成27年,相楽中部消防組合,1,5,130,-,-,1,2,29,43,37,11,7,-
2015年,平成27年,宮津与謝消防組合,1,3,93,-,-,-,1,16,30,11,10,25,1
2015年,平成27年,京都中部広域消防組合,2,5,187,-,-,1,10,40,75,24,14,23,1
2015年,平成27年,乙訓消防組合,3,1,181,-,-,1,11,46,34,40,24,25,3
