西暦,和暦,地域コード,地域,総数(人),一般職員(人),一般職員_一般行政職(人),一般職員_税務職(人),一般職員_医療関係職(人),一般職員_福祉職(人),一般職員_消防職(人),一般職員_企業職(人),一般職員_技能労務職(人),教育職員(人),臨時職員(人)
2011年,平成23年,-,合計,11268,10995,5897,549,781,1071,920,1102,675,272,1
2012年,平成24年,-,合計,11184,10903,5835,541,799,1044,940,1105,639,280,1
2013年,平成25年,-,合計,11184,10911,5886,536,810,1021,953,1096,609,272,1
2014年,平成26年,-,合計,11217,10946,5907,535,809,1000,954,1151,590,270,1
2015年,平成27年,-,合計,11260,10984,5860,533,807,989,949,1276,570,275,1
2015年,平成27年,26201,福知山市,1378,1358,441,43,41,62,124,643,4,20,-
2015年,平成27年,26202,舞鶴市,863,860,515,35,33,44,132,92,9,3,-
2015年,平成27年,26203,綾部市,381,372,243,26,16,6,52,17,12,9,-
2015年,平成27年,26204,宇治市,1431,1399,658,71,45,111,204,116,194,32,-
2015年,平成27年,26205,宮津市,237,231,172,15,10,9,-,12,13,6,-
2015年,平成27年,26206,亀岡市,732,719,425,34,21,63,-,172,4,13,-
2015年,平成27年,26207,城陽市,463,458,269,30,17,22,85,26,9,5,-
2015年,平成27年,26208,向日市,386,386,229,22,18,67,-,18,32,-,-
2015年,平成27年,26209,長岡京市,554,551,368,27,19,70,-,25,42,3,-
2015年,平成27年,26210,八幡市,599,573,324,29,20,55,69,18,58,26,-
2015年,平成27年,26211,京田辺市,595,550,258,35,23,58,100,29,47,45,-
2015年,平成27年,26212,京丹後市,1047,1014,399,22,358,71,96,12,56,33,-
2015年,平成27年,26213,南丹市,386,364,259,20,22,51,-,5,7,22,-
2015年,平成27年,26214,木津川市,497,472,317,32,25,70,-,25,3,25,-
2015年,平成27年,26303,乙訓郡大山崎町,141,141,87,6,8,28,-,6,6,-,-
2015年,平成27年,26322,久世郡久御山町,234,216,102,15,9,28,36,10,16,18,-
2015年,平成27年,26343,綴喜郡井手町,103,103,66,6,4,22,-,4,1,-,-
2015年,平成27年,26344,綴喜郡宇治田原町,133,133,93,6,-,15,-,7,12,-,-
2015年,平成27年,26364,相楽郡笠置町,46,46,32,4,2,6,-,1,1,-,-
2015年,平成27年,26365,相楽郡和束町,78,78,52,4,7,11,-,2,2,-,-
2015年,平成27年,26366,相楽郡精華町,305,305,162,20,13,34,51,15,10,-,-
2015年,平成27年,26367,相楽郡南山城村,54,54,39,3,3,7,-,2,-,-,-
2015年,平成27年,26407,船井郡京丹波町,279,273,153,12,70,27,-,8,3,6,-
2015年,平成27年,26463,与謝郡伊根町,70,69,44,4,6,9,-,2,4,1,-
2015年,平成27年,26465,与謝郡与謝野町,268,259,153,12,17,43,-,9,25,8,1
