西暦,和暦,地域コード,地域,総数(人),男(人),女(人)
2012年,平成24年,26000,京都府,2096419,993547,1102872
2013年,平成25年,26000,京都府,2093541,991305,1102236
2014年,平成26年,26000,京都府,2089181,988738,1100443
2015年,平成27年,26000,京都府,2086708,987178,1099530
2016年,平成28年,26000,京都府,2134250,1010912,1123338
2016年,平成28年,26100,京都市,1179380,552129,627251
2016年,平成28年,26101,京都市北区,93515,43447,50068
2016年,平成28年,26102,京都市上京区,64752,29287,35465
2016年,平成28年,26103,京都市左京区,128209,59753,68456
2016年,平成28年,26104,京都市中京区,89097,39925,49172
2016年,平成28年,26105,京都市東山区,31902,14103,17799
2016年,平成28年,26110,京都市山科区,110303,51927,58376
2016年,平成28年,26106,京都市下京区,65872,29844,36028
2016年,平成28年,26107,京都市南区,80447,39785,40662
2016年,平成28年,26108,京都市右京区,162634,76486,86148
2016年,平成28年,26111,京都市西京区,124038,58563,65475
2016年,平成28年,26109,京都市伏見区,228611,109009,119602
2016年,平成28年,26201,福知山市,65722,32074,33648
2016年,平成28年,26202,舞鶴市,70735,35101,35634
2016年,平成28年,26203,綾部市,29433,13955,15478
2016年,平成28年,26204,宇治市,156072,74753,81319
2016年,平成28年,26205,宮津市,16428,7719,8709
2016年,平成28年,26206,亀岡市,75310,36281,39029
2016年,平成28年,26207,城陽市,65849,31548,34301
2016年,平成28年,26208,向日市,45741,21654,24087
2016年,平成28年,26209,長岡京市,66534,32000,34534
2016年,平成28年,26210,八幡市,60191,29021,31170
2016年,平成28年,26211,京田辺市,54083,26026,28057
2016年,平成28年,26212,京丹後市,48273,23063,25210
2016年,平成28年,26213,南丹市,28133,13387,14746
2016年,平成28年,26214,木津川市,59299,28203,31096
2016年,平成28年,26303,乙訓郡大山崎町,12921,6230,6691
2016年,平成28年,26322,久世郡久御山町,13308,6544,6764
2016年,平成28年,26343,綴喜郡井手町,6668,3183,3485
2016年,平成28年,26344,綴喜郡宇治田原町,7966,3939,4027
2016年,平成28年,26364,相楽郡笠置町,1345,632,713
2016年,平成28年,26365,相楽郡和束町,3770,1771,1999
2016年,平成28年,26366,相楽郡精華町,30081,14282,15799
2016年,平成28年,26367,相楽郡南山城村,2635,1234,1401
2016年,平成28年,26407,船井郡京丹波町,13117,6198,6919
2016年,平成28年,26463,与謝郡伊根町,2032,961,1071
2016年,平成28年,26465,与謝郡与謝野町,19224,9024,10200
