西暦,和暦,月,種別,選挙当日の有権者数(人),投票者数(人),有効投票数(票),無効投票数(票),棄権者数(人),投票率(%)
2003年,平成15年,11月,比例代表,2088851,1188352,1150263,38014,900499,56.89
2003年,平成15年,11月,小選挙区,2087708,1188434,1159134,29223,899274,56.93
2005年,平成17年,9月,比例代表,2099577,1390225,1354685,35431,709352,66.21
2005年,平成17年,9月,小選挙区,2098322,1390127,1361405,28672,708195,66.25
2009年,平成21年,8月,比例代表,2099450,1431692,1398710,32896,667758,68.19
2009年,平成21年,8月,小選挙区,2099450,1431904,1407209,24654,667546,68.2
2012年,平成24年,12月,比例代表,2091750,1218512,1191498,26969,873238,58.25
2012年,平成24年,12月,小選挙区,2091750,1218759,1184754,33984,872991,58.27
2014年,平成26年,12月,比例代表,2087647,1064301,1040182,24087,1023346,50.98
2014年,平成26年,12月,小選挙区,2087647,1064427,1038241,26169,1023220,50.99
2014年,平成26年,12月,小選挙区_1区,383347,186681,181683,4992,196666,48.7
2014年,平成26年,12月,小選挙区_2区,265879,134894,131295,3595,130985,50.74
2014年,平成26年,12月,小選挙区_3区,343926,169266,165832,3430,174660,49.22
2014年,平成26年,12月,小選挙区_4区,394727,198267,193506,4758,196460,50.23
2014年,平成26年,12月,小選挙区_5区,249694,138685,135469,3216,111009,55.54
2014年,平成26年,12月,小選挙区_6区,450074,236634,230456,6178,213440,52.58
