地域コード,地域,有効投票数(票),党派別得票数内訳_維新の党(票),党派別得票数内訳_自由民主党(票),党派別得票数内訳_日本共産党(票),党派別得票数内訳_民主党(票),党派別得票数内訳_無所属(票)
26000,京都府,1038241,87368,417514,194065,321027,18267
26100,京都市,546000,71076,196480,120685,139492,18267
26101,京都市北区,44967,10204,16770,14029,・,3964
26102,京都市上京区,32291,6047,12919,9765,・,3560
26103,京都市左京区,66573,・,16493,16077,34003,・
26104,京都市中京区,42197,8301,16689,12544,・,4663
26105,京都市東山区,15032,・,4952,2923,7157,・
26110,京都市山科区,49690,・,15735,8888,25067,・
26106,京都市下京区,29216,5515,13175,7405,・,3121
26107,京都市南区,33012,6286,14131,9636,・,2959
26108,京都市右京区,75129,10119,28032,14595,22383,・
26111,京都市西京区,56953,8898,21444,9028,17583,・
26109,京都市伏見区,100940,15706,36140,15795,33299,・
26201,福知山市,34192,・,20572,4963,8657,・
26202,舞鶴市,36836,・,20150,4530,12156,・
26203,綾部市,16156,・,8827,2713,4616,・
26204,宇治市,75088,・,29460,12496,33132,・
26205,宮津市,9552,・,5453,1346,2753,・
26206,亀岡市,36514,4395,15180,5169,11770,・
26207,城陽市,32858,・,12684,4944,15230,・
26208,向日市,22351,3286,7999,4294,6772,・
26209,長岡京市,35261,4795,12649,5350,12467,・
26210,八幡市,29237,・,12471,4521,12245,・
26211,京田辺市,27210,・,11554,3617,12039,・
26212,京丹後市,26103,・,14746,4261,7096,・
26213,南丹市,16633,1874,7380,2724,4655,・
26214,木津川市,30185,・,12236,3722,14227,・
26303,乙訓郡大山崎町,7280,1053,2649,1216,2362,・
26322,久世郡久御山町,6502,・,2955,789,2758,・
26343,綴喜郡井手町,3626,・,1759,408,1459,・
26344,綴喜郡宇治田原町,4391,・,2066,522,1803,・
26364,相楽郡笠置町,887,・,372,88,427,・
26365,相楽郡和束町,2555,・,1276,249,1030,・
26366,相楽郡精華町,16200,・,7050,2077,7073,・
26367,相楽郡南山城村,1717,・,853,257,607,・
26407,船井郡京丹波町,8277,889,3708,1379,2301,・
26463,与謝郡伊根町,1453,・,947,261,245,・
26465,与謝郡与謝野町,11177,・,6038,1484,3655,・
