地域コード,地域,有効投票数(票),党派別得票数内訳_幸福実現党(票),党派別得票数内訳_維新の党(票),党派別得票数内訳_次世代の党(票),党派別得票数内訳_自由民主党(票),党派別得票数内訳_生活の党(票),党派別得票数内訳_社会民主党(票),党派別得票数内訳_日本共産党(票),党派別得票数内訳_民主党(票),党派別得票数内訳_公明党(票)
26000,京都府,1040182,4300,189471,19574,310909,11577,14654,193596,179765,116336
26100,京都市,547356,2095,103345,11521,152180,6822,8267,114426,88436,60264
26101,京都市北区,45102,175,9334,960,12450,611,802,11271,5553,3946
26102,京都市上京区,32377,125,6513,827,9494,436,579,7673,3989,2741
26103,京都市左京区,66748,196,10255,1464,17319,987,1526,16389,14206,4406
26104,京都市中京区,42322,204,8880,1111,12243,639,720,9608,5365,3552
26105,京都市東山区,15018,46,2399,328,4622,193,208,2995,3027,1200
26110,京都市山科区,50065,145,8739,901,13248,532,659,9290,9305,7246
26106,京都市下京区,29194,106,6200,803,9691,378,472,5399,3420,2725
26107,京都市南区,33092,178,6523,647,9362,367,392,7496,3191,4936
26108,京都市右京区,75266,315,13798,1436,20354,923,929,15989,12714,8808
26111,京都市西京区,57112,238,11562,1163,16641,701,752,10110,10117,5828
26109,京都市伏見区,101060,367,19142,1881,26756,1055,1228,18206,17549,14876
26201,福知山市,34126,166,5071,505,12969,294,423,5222,5544,3932
26202,舞鶴市,36728,174,5231,696,14050,303,336,4658,6869,4411
26203,綾部市,15931,66,1902,173,5824,112,195,2996,3226,1437
26204,宇治市,75374,285,13458,1311,20971,689,985,13711,14613,9351
26205,宮津市,9550,45,1348,143,3497,85,131,1384,1760,1157
26206,亀岡市,36400,173,6745,630,10861,377,421,5985,6742,4466
26207,城陽市,33128,101,5864,516,9427,342,420,5455,6889,4114
26208,向日市,22354,91,4443,342,6409,243,320,4546,3870,2090
26209,長岡京市,35255,95,7032,612,10730,358,518,6006,6921,2983
26210,八幡市,29477,136,6486,499,8590,320,471,4514,4981,3480
26211,京田辺市,27349,146,5468,562,8754,286,432,3770,5035,2896
26212,京丹後市,26054,276,3854,315,9759,238,222,4303,4196,2891
26213,南丹市,16668,86,2489,209,5431,167,239,3034,2897,2116
26214,木津川市,30394,113,6173,600,9503,354,493,4127,5949,3082
26303,乙訓郡大山崎町,7280,23,1529,116,2237,57,126,1341,1325,526
26322,久世郡久御山町,6536,33,1123,130,2082,59,52,796,1201,1060
26343,綴喜郡井手町,3601,5,520,31,1325,29,45,469,713,464
26344,綴喜郡宇治田原町,4321,10,586,49,1562,35,41,565,861,612
26364,相楽郡笠置町,876,3,118,5,270,11,15,97,234,123
26365,相楽郡和束町,2545,14,312,35,1001,19,26,314,470,354
26366,相楽郡精華町,16341,74,3297,295,5494,174,228,2266,3025,1488
26367,相楽郡南山城村,1723,5,239,26,579,23,23,259,300,269
26407,船井郡京丹波町,8286,30,1063,75,2531,61,88,1496,1532,1410
26463,与謝郡伊根町,1420,2,129,9,667,7,8,270,183,145
26465,与謝郡与謝野町,11109,53,1646,169,4206,112,129,1586,1993,1215
