地域コード,地域,有効投票数(票),党派別得票数内訳_社会民主党(票),党派別得票数内訳_国民怒りの声(票),党派別得票数内訳_おおさか維新の会(票),党派別得票数内訳_公明党(票),党派別得票数内訳_日本共産党(票),党派別得票数内訳_幸福実現党(票),党派別得票数内訳_自由民主党(票),党派別得票数内訳_新党改革(票),党派別得票数内訳_日本のこころを大切にする党(票),党派別得票数内訳_生活の党と山本太郎となかまたち(票),党派別得票数内訳_民進党(票),党派別得票数内訳_支持政党なし(票)
26000,京都府,1051108,16276.854,5589.401,117337.417,128802.256,194503.133,7549.563,327746.633,8383.828,9235.398,13822,209516.268,12341
26100,京都市,549705,8790.129,3249.254,61452.049,66736.13,113373.682,3666.998,160570.684,5178.694,5163.956,8749,105871.309,6903
26101,京都市北区,46083,800.028,292.913,4952.351,4297.333,11046.765,298,13714.924,444.799,479,834,8290.879,632
26102,京都市上京区,33174,594.714,197,3487.373,2872.192,7597.285,196,10471.431,348.352,351,667,5939.647,452
26103,京都市左京区,67101,1588.836,637.352,6645.8,4842.583,16200.347,341,18034.535,770.085,660,1654,14846.446,880
26104,京都市中京区,43602,736.6,305.709,5180.943,3939.391,9119.588,305,13557.891,470.596,426,869,8050.271,641
26105,京都市東山区,14506,217,77.53,1455.247,1278,2813.016,102,4710.121,156.652,166,245,3127.428,158
26110,京都市山科区,50008,633,229.562,5440.57,8394.803,9463,294.999,13949.624,412,433,528,9635.437,594
26106,京都市下京区,29856,496.01,190.629,3605.729,2987.333,5592.343,184,9959.205,354.614,310.696,589,5164.43,422
26107,京都市南区,34481,415,148.46,3930,5608.771,7185.466,313,10299.842,294.277,293,402,5181.177,410
26108,京都市右京区,75920,1019.622,378.296,8265.252,9697.893,16401.416,511.999,22005.664,658.11,621,1153,14272.734,935
26111,京都市西京区,58242,890,352.047,7326.191,6599.602,10449.758,412,18237.362,467.804,451.989,709,11616.234,730
26109,京都市伏見区,96732,1399.319,439.756,11162.593,16218.229,17504.698,709,25630.085,801.405,972.271,1099,19746.626,1049
26201,福知山市,33129,409.218,96.181,2841.907,4252,5133.481,292,12216.419,162.094,207.441,274,6840.251,404
26202,舞鶴市,37479,460.019,144.237,3018.267,5275.227,4565.03,301,15110.151,212.371,326,280,7344.688,442
26203,綾部市,16119,204,51.126,1182,1521.5,3044.537,142,5807.147,83.814,91,149,3710.873,132
26204,宇治市,78363,1161.827,397.269,8838.465,10838.405,14590.864,562.565,22828.64,523.329,666,840,16352.624,763
26205,宮津市,9568,175,34.023,664.535,1159,1504,54,3738.462,35.125,68,58,1977.851,100
26206,亀岡市,37032,495.744,158.047,3904.789,4916.416,6278.273,237,12075.749,279.172,297,413,7485.8,491
26207,城陽市,34310,494,159.447,4035.001,4660.908,5829.031,200,10170.538,228.515,261.863,355,7597.688,318
26208,向日市,22137,478.764,113.621,2837.171,2321,4442.458,133,6398.317,168.166,158,217,4628.495,240
26209,長岡京市,34174,651,230,4571.654,3091,5797.009,193,10060.547,287.786,349.691,384,8167.308,391
26210,八幡市,29660,462.87,135.391,4812.739,3854.611,4655.618,197,8684.354,205.767,246,336,5780.64,289
26211,京田辺市,29202,512,183.168,4272.138,3150.559,3938.062,247,9802.796,200,283,370,5929.27,314
26212,京丹後市,26363,266.705,68.377,2113.377,2903,4389.212,428,10652.899,96.815,236,228,4723.605,257
26213,南丹市,16522,272,70.28,1180.209,2177,3010.078,153,5811.624,101.238,108,173,3249.564,216
26214,木津川市,32398,552.722,229.164,4793.897,3506.5,4193.798,186,10572.502,223.576,288,408,7040.835,403
26303,乙訓郡大山崎町,7169,134,33,1020,579,1314,58,2146,48,61,83,1614,79
26322,久世郡久御山町,6752,74,34,672.44,1249,875,64,2265.56,40,58,49,1297,74
26343,綴喜郡井手町,3605,55,10.166,311.609,457,462,29,1404.157,25.285,22,17,779.776,31
26344,綴喜郡宇治田原町,4459,45,17,416,673,625,29,1645,35,29,28,868,48
26364,相楽郡笠置町,828,8,1,58,132,81,8,295,7,0,11,222,5
26365,相楽郡和束町,2467,25,7,190,405,290,20,1071.999,12,15,23,392,16
26366,相楽郡精華町,17254,276.023,99.199,2441.337,1585,2417,121,6043.212,136.796,159.733,192,3563.692,219
26367,相楽郡南山城村,1690,25,8,161,319,255,14,577.714,7.285,8,26,273,16
26407,船井郡京丹波町,8174,92.833,26.451,527.787,1533,1525,105,2670.21,31,40,58,1503.714,61
26463,与謝郡伊根町,1430,5,1,53,158,274,6,721,2,5,11,185,8
26465,与謝郡与謝野町,11119,151,33,968.046,1349,1640,103,4405.952,53,87.714,90,2117.285,121
