地域コード,地域,有効投票数(票),党派別得票数内訳_民進党(票),党派別得票数内訳_幸福実現党(票),党派別得票数内訳_自由民主党(票),党派別得票数内訳_日本共産党(票)
26000,京都府,1056759,389707,32973,422416,211663
26100,京都市,553564,201484,16224,211108,124748
26101,京都市北区,46655,16516,1255,16788,12096
26102,京都市上京区,33383,12098,838,12413,8034
26103,京都市左京区,67660,27354,1451,20791,18064
26104,京都市中京区,43950,16504,1167,16213,10066
26105,京都市東山区,14737,5603,416,5585,3133
26110,京都市山科区,50155,17907,1485,20352,10411
26106,京都市下京区,30003,10392,902,12451,6258
26107,京都市南区,34759,10202,1319,14932,8306
26108,京都市右京区,76797,26052,2261,30740,17744
26111,京都市西京区,58588,21613,1759,23711,11505
26109,京都市伏見区,96877,37243,3371,37132,19131
26201,福知山市,33557,13193,1314,13830,5220
26202,舞鶴市,37710,12175,1579,19060,4896
26203,綾部市,16359,6495,517,6422,2925
26204,宇治市,78390,30251,2328,30223,15588
26205,宮津市,9704,3307,308,4553,1536
26206,亀岡市,37100,13747,1165,15304,6884
26207,城陽市,34330,13753,1009,13313,6255
26208,向日市,22182,8247,670,8358,4907
26209,長岡京市,34152,14320,992,12610,6230
26210,八幡市,29636,10726,796,12849,5265
26211,京田辺市,29116,10985,836,12809,4486
26212,京丹後市,26621,8849,1280,11975,4517
26213,南丹市,16800,5799,748,7158,3095
26214,木津川市,32192,12684,973,13708,4827
26303,乙訓郡大山崎町,7148,2781,236,2647,1484
26322,久世郡久御山町,6784,2483,241,3109,951
26343,綴喜郡井手町,3665,1309,103,1756,497
26344,綴喜郡宇治田原町,4537,1612,142,2110,673
26364,相楽郡笠置町,842,364,40,336,102
26365,相楽郡和束町,2506,869,92,1268,277
26366,相楽郡精華町,17189,6518,524,7554,2593
26367,相楽郡南山城村,1725,521,47,843,314
26407,船井郡京丹波町,8279,2995,344,3514,1426
26463,与謝郡伊根町,1433,302,37,828,266
26465,与謝郡与謝野町,11238,3938,428,5171,1701
