地域コード,地域,年月,選挙当日の有権者数(人),投票者数(人),有効投票数(票),無効投票数(票),棄権者数(人),投票率(%)
26100,京都市,2016年2月7日,1141060,407129,398998,8123,733931,35.68
26201,福知山市,2012年6月10日,64390,35237,34770,467,29153,54.72
26202,舞鶴市,2015年2月8日,69095,29628,28876,752,39467,42.88
26203,綾部市,2014年1月26日,29450,16444,16283,161,13006,55.84
26204,宇治市,2012年12月16日,152268,90174,84473,5701,62094,59.22
26205,宮津市,2014年6月22日,16411,11717,11309,408,4694,71.4
26206,亀岡市,2015年11月1日,72966,32436,31943,493,40530,44.45
26207,城陽市,2013年9月8日,64866,30129,29865,264,34737,46.45
26208,向日市,2015年4月26日,43158,17045,16798,247,26113,39.49
26209,長岡京市,2015年1月11日,64033,28082,27710,372,35951,43.86
26210,八幡市,2016年2月14日,58519,24110,23673,437,34409,41.2
26211,京田辺市,2015年4月26日,50971,24756,24462,294,26215,48.57
26212,京丹後市,2012年4月22日,48782,36209,35487,722,12573,74.23
26213,南丹市,2014年4月6日,27655,17247,16930,317,10408,62.36
26214,木津川市,2015年4月26日,55808,23075,22787,288,32733,41.35
26303,乙訓郡大山崎町,2014年10月19日,12407,7724,7443,281,4683,62.26
26322,久世郡久御山町,2012年8月26日,13030,5272,5131,141,7758,40.46
26343,綴喜郡井手町,2015年8月9日,・,・,・,・,・,・
26344,綴喜郡宇治田原町,2013年2月3日,7788,5338,5312,26,2450,68.54
26364,相楽郡笠置町,2016年3月20日,1333,1074,1048,26,259,80.57
26365,相楽郡和束町,2013年4月14日,3944,2687,2643,44,1257,68.13
26366,相楽郡精華町,2015年10月18日,28741,12405,12182,223,16336,43.16
26367,相楽郡南山城村,2015年6月21日,2604,1865,1812,53,739,71.62
26407,船井郡京丹波町,2013年11月10日,・,・,・,・,・,・
26463,与謝郡伊根町,2014年11月16日,・,・,・,・,・,・
26465,与謝郡与謝野町,2014年4月6日,19070,13921,13381,540,5149,73
