西暦,和暦,裁判所,種別,受理(件),旧受(件),新受(件),既済(件),未済(件)
2011年,平成23年,地方裁判所(支部を含む),総数,25510,7680,17830,18407,7103
2012年,平成24年,地方裁判所(支部を含む),総数,23798,7103,16695,16596,7202
2013年,平成25年,地方裁判所(支部を含む),総数,24944,7202,17742,17413,7531
2014年,平成26年,地方裁判所(支部を含む),総数,23316,7531,15785,16274,7042
2015年,平成27年,地方裁判所(支部を含む),総数,24078,7042,17036,16678,7400
2015年,平成27年,地方裁判所(支部を含む),民事事件総数,23814,6941,16873,16541,7273
2015年,平成27年,地方裁判所(支部を含む),通常訴訟,7699,3327,4372,4445,3254
2015年,平成27年,地方裁判所(支部を含む),手形・小切手訴訟,8,4,4,6,2
2015年,平成27年,地方裁判所(支部を含む),控訴,492,99,393,403,89
2015年,平成27年,地方裁判所(支部を含む),再審（訴訟）,1,-,1,1,-
2015年,平成27年,地方裁判所(支部を含む),控訴提起,810,71,739,777,33
2015年,平成27年,地方裁判所(支部を含む),上告提起,23,5,18,19,4
2015年,平成27年,地方裁判所(支部を含む),抗告,32,1,31,22,10
2015年,平成27年,地方裁判所(支部を含む),再審（抗告）,5,1,4,2,3
2015年,平成27年,地方裁判所(支部を含む),抗告提起,295,27,268,252,43
2015年,平成27年,地方裁判所(支部を含む),民事非訟,19,3,16,19,-
2015年,平成27年,地方裁判所(支部を含む),商事非訟,53,13,40,41,12
2015年,平成27年,地方裁判所(支部を含む),借地非訟,4,-,4,-,4
2015年,平成27年,地方裁判所(支部を含む),配偶者暴力に関する保護命令,76,3,73,73,3
2015年,平成27年,地方裁判所(支部を含む),労働審判,76,11,65,56,20
2015年,平成27年,地方裁判所(支部を含む),保全命令,475,35,440,437,38
2015年,平成27年,地方裁判所(支部を含む),配当等手続,1292,267,1025,972,320
2015年,平成27年,地方裁判所(支部を含む),強制執行,3722,1576,2146,2175,1547
2015年,平成27年,地方裁判所(支部を含む),担保権実行,943,427,516,475,468
2015年,平成27年,地方裁判所(支部を含む),財産開示,28,8,20,19,9
2015年,平成27年,地方裁判所(支部を含む),破産,1769,454,1315,1329,440
2015年,平成27年,地方裁判所(支部を含む),再生,11,6,5,5,6
2015年,平成27年,地方裁判所(支部を含む),小規模個人再生,222,55,167,146,76
2015年,平成27年,地方裁判所(支部を含む),給与所得者等再生,29,7,22,11,18
2015年,平成27年,地方裁判所(支部を含む),会社更生,-,-,-,-,-
2015年,平成27年,地方裁判所(支部を含む),過料,1366,147,1219,1051,315
2015年,平成27年,地方裁判所(支部を含む),共助,32,1,31,30,2
2015年,平成27年,地方裁判所(支部を含む),仲裁関係,2,2,-,2,-
2015年,平成27年,地方裁判所(支部を含む),人身保護,4,1,3,3,1
2015年,平成27年,地方裁判所(支部を含む),雑,4225,371,3854,3700,525
2015年,平成27年,地方裁判所(支部を含む),調停,101,19,82,70,31
2015年,平成27年,地方裁判所(支部を含む),行政事件総数,264,101,163,137,127
2015年,平成27年,地方裁判所(支部を含む),行政事件総数のうち行政第一審訴訟,113,58,55,47,66
2015年,平成27年,京都地方裁判所,総数,22135,6454,15681,15286,6849
2015年,平成27年,舞鶴支部,総数,417,115,302,302,115
2015年,平成27年,園部支部　 　,総数,489,139,350,371,118
2015年,平成27年,宮津支部,総数,468,168,300,316,152
2015年,平成27年,福知山支部,総数,569,166,403,403,166
2011年,平成23年,簡易裁判所(管内総数),総数,28468,3706,24762,24969,3499
2012年,平成24年,簡易裁判所(管内総数),総数,19557,3499,16058,17701,1856
