西暦,和暦,裁判所,総数(件),事件の種類_金銭(件),事件の種類_建物(件),事件の種類_土地(件),事件の種類_知的財産権(件),事件の種類_請求異議(件),事件の種類_第三者異議(件),事件の種類_その他(件)
2011年,平成23年,地方裁判所(支部を含む),4776,3709,616,232,4,8,7,200
2012年,平成24年,地方裁判所(支部を含む),4339,3262,598,247,2,13,4,213
2013年,平成25年,地方裁判所(支部を含む),4510,3571,545,225,1,5,6,157
2014年,平成26年,地方裁判所(支部を含む),4355,3389,521,197,3,11,1,233
2015年,平成27年,地方裁判所(支部を含む),4372,3429,521,210,3,8,6,195
2011年,平成23年,簡易裁判所(管内総数),14631,14455,115,30,-,-,-,31
2012年,平成24年,簡易裁判所(管内総数),7028,6857,111,29,-,1,-,30
2013年,平成25年,簡易裁判所(管内総数),4998,4796,113,42,-,2,-,45
2014年,平成26年,簡易裁判所(管内総数),4834,4655,107,37,-,5,-,30
2015年,平成27年,簡易裁判所(管内総数),4306,4171,69,38,-,4,-,24
