西暦,和暦,裁判所,総数,価額の階級_30万円まで(件),価額の階級_90万円まで(件),価額の階級_〜140万円(件),価額の階級_〜200万円(件),価額の階級_〜500万円(件),価額の階級_〜1000万円(件),価額の階級_〜5000万円(件),価額の階級_〜1億円(件),価額の階級_〜5億円(件),価額の階級_〜10億円(件),価額の階級_〜50億円(件),価額の階級_50億円超(件),価額の階級_算定不能(件)
2011年,平成23年,地方裁判所（支部を含む）,4776,…,519,185,890,1625,685,635,80,59,2,1,-,95
2012年,平成24年,地方裁判所（支部を含む）,4339,…,514,204,576,1342,719,694,96,63,2,-,-,129
2013年,平成25年,地方裁判所（支部を含む）,4510,…,504,193,627,1452,744,708,103,57,1,2,1,118
2014年,平成26年,地方裁判所（支部を含む）,4355,…,444,163,621,1403,734,654,92,56,6,1,2,179
2015年,平成27年,地方裁判所（支部を含む）,4372,…,526,187,570,1244,661,803,94,57,1,1,-,228
2011年,平成23年,簡易裁判所（管内総数）,14631,7473,5356,1553,97,119,23,9,1,-,-,-,-,-
2012年,平成24年,簡易裁判所（管内総数）,7028,3123,2531,1094,110,123,34,13,-,-,-,-,-,-
2013年,平成25年,簡易裁判所（管内総数）,4998,1980,1878,1013,30,66,20,10,-,-,-,-,-,1
2014年,平成26年,簡易裁判所（管内総数）,4834,2184,1759,824,19,29,9,9,-,-,-,-,-,1
2015年,平成27年,簡易裁判所（管内総数）,4306,1852,1605,793,22,17,14,3,-,-,-,-,-,-
