西暦,和暦,裁判所,種別,受理(人),受理_旧受(人),受理_新受(人),既済(人),未済(人)
2011年,平成23年,地方裁判所(支部を含む),合計,12612,847,11765,11904,708
2012年,平成24年,地方裁判所(支部を含む),合計,11972,708,11264,11268,704
2013年,平成25年,地方裁判所(支部を含む),合計,13121,704,12417,12344,777
2014年,平成26年,地方裁判所(支部を含む),合計,12790,777,12013,12066,724
2015年,平成27年,地方裁判所(支部を含む),合計,12207,724,11483,11552,655
2015年,平成27年,地方裁判所(支部を含む),通常第一審,2348,588,1760,1829,519
2015年,平成27年,地方裁判所(支部を含む),再審,-,-,-,-,-
2015年,平成27年,地方裁判所(支部を含む),その他,9859,136,9723,9723,136
2011年,平成23年,簡易裁判所（管内総数）,合計,19423,218,19205,19210,213
2012年,平成24年,簡易裁判所（管内総数）,合計,17335,213,17122,17240,95
2013年,平成25年,簡易裁判所（管内総数）,合計,17106,95,17011,17002,104
2014年,平成26年,簡易裁判所（管内総数）,合計,16478,104,16374,16425,53
2015年,平成27年,簡易裁判所（管内総数）,合計,15663,53,15610,15580,83
2015年,平成27年,簡易裁判所（管内総数）,通常第一審,94,11,83,85,9
2015年,平成27年,簡易裁判所（管内総数）,略式,7216,41,7175,7142,74
2015年,平成27年,簡易裁判所（管内総数）,再審,-,-,-,-,-
2015年,平成27年,簡易裁判所（管内総数）,その他,8353,1,8352,8353,-
