西暦,和暦,裁判所,受理(人),受理_旧受(人),受理_新受(人),既済(人),既済_有罪(人),既済_有罪のうち執行猶予(人),既済_無罪(人),既済_その他(人),未済(人)
2011年,平成23年,合計,3179,854,2325,2478,1719,899,1,40,701
2012年,平成24年,合計,2831,701,2130,2245,1506,731,5,34,586
2013年,平成25年,合計,2593,586,2007,1912,1355,696,2,30,681
2014年,平成26年,合計,2768,681,2087,2169,1526,834,5,42,599
2015年,平成27年,合計,2442,599,1843,1914,1396,750,7,30,528
2015年,平成27年,京都地方裁判所,2162,556,1606,1682,1208,651,7,23,480
2015年,平成27年,舞鶴支部,46,5,41,37,31,17,-,-,9
2015年,平成27年,園部支部,-,-,-,-,-,-,-,-,-
2015年,平成27年,宮津支部,55,7,48,41,32,28,-,1,14
2015年,平成27年,福知山支部,85,20,65,69,50,32,-,1,16
2015年,平成27年,京都簡易裁判所,77,8,69,71,62,19,-,4,6
2015年,平成27年,伏見簡易裁判所,1,-,1,1,1,-,-,-,-
2015年,平成27年,右京簡易裁判所,1,1,-,1,1,-,-,-,-
2015年,平成27年,向日町簡易裁判所,3,-,3,3,2,-,-,1,-
2015年,平成27年,木津簡易裁判所,5,2,3,4,4,2,-,-,1
2015年,平成27年,宇治簡易裁判所,2,-,2,1,1,-,-,-,1
2015年,平成27年,園部簡易裁判所,1,-,1,1,1,-,-,-,-
2015年,平成27年,亀岡簡易裁判所,-,-,-,-,-,-,-,-,-
2015年,平成27年,宮津簡易裁判所,-,-,-,-,-,-,-,-,-
2015年,平成27年,京丹後簡易裁判所,2,-,2,1,1,1,-,-,1
2015年,平成27年,舞鶴簡易裁判所,-,-,-,-,-,-,-,-,-
2015年,平成27年,福知山簡易裁判所,2,-,2,2,2,-,-,-,-
