西暦,和暦,種別等,受理(件),受理_旧受(件),受理_新受(件),受理_既済(件),受理_既済_認容(件),受理_既済_認容以外の結果(件),受理_既済_認容以外の結果_却下(件),受理_既済_認容以外の結果_取下げ(件),受理_既済_認容以外の結果_その他(件),受理_未済(件)
2011年,平成23年,合計,16394,1421,14973,14910,14101,809,107,567,135,1484
2012年,平成24年,合計,17214,1484,15730,15365,14515,850,116,566,168,1849
2013年,平成25年,合計,19413,1849,17564,18050,17185,865,210,485,170,1363
2014年,平成26年,合計,17679,1363,16316,16390,15622,768,158,419,191,1289
2015年,平成27年,合計,20560,1289,19271,18844,18074,770,121,409,240,1716
2015年,平成27年,別表第一審判事件,19738,997,18741,18364,17837,527,52,351,124,1374
2015年,平成27年,別表第二審判事件,822,292,530,480,237,243,69,58,116,342
2015年,平成27年,京都家庭裁判所,17459,1143,16316,16033,15343,690,105,374,211,1426
2015年,平成27年,園部支部,963,31,932,879,857,22,2,7,13,84
2015年,平成27年,宮津支部,816,59,757,748,725,23,1,15,7,68
2015年,平成27年,舞鶴支部,542,12,530,491,475,16,2,5,9,51
2015年,平成27年,福知山支部,780,44,736,693,674,19,11,8,-,87
