西暦,和暦,種別等,受理(件),受理_旧受(件),受理_新受(件),受理_既済(件),受理_既済_成立(件),受理_既済_不成立(件),受理_既済_取下げ(件),受理_既済_審判(件),受理_既済_その他(件),受理_未済(件)
2011年,平成23年,合計,4635,1371,3264,3042,1471,700,691,59,121,1593
2012年,平成24年,合計,4857,1593,3264,3356,1724,720,766,31,115,1501
2013年,平成25年,合計,4600,1501,3099,3227,1665,757,673,43,89,1373
2014年,平成26年,合計,4280,1373,2907,2938,1509,740,549,71,69,1342
2015年,平成27年,合計,4305,1342,2963,2745,1499,568,491,104,83,1560
2015年,平成27年,別表第二調停事件,2641,834,1807,1620,972,268,267,60,53,1021
2015年,平成27年,別表第二以外の調停事件,1664,508,1156,1125,527,300,224,44,30,539
2015年,平成27年,京都家庭裁判所,3759,1222,2537,2389,1314,501,418,90,66,1370
2015年,平成27年,園部支部,133,26,107,91,45,13,23,6,4,42
2015年,平成27年,宮津支部,128,32,96,81,38,17,20,1,5,47
2015年,平成27年,舞鶴支部,119,28,91,63,34,14,12,1,2,56
2015年,平成27年,福知山支部,166,34,132,121,68,23,18,6,6,45
