西暦,和暦,種別,総数_件数(件),総数_個数(個),土地_件数(件),土地_個数(個),建物_件数(件),建物_個数(個),船舶、立木_件数(件),船舶、立木_個数(個),財団_件数(件),財団_個数(個),その他_件数(件),その他_個数(個)
2011年,平成23年,合計,222247,574756,152566,395787,67337,172350,-,-,30,31,2314,6588
2012年,平成24年,合計,221644,601535,152076,433667,67422,162892,1,1,22,48,2123,4927
2013年,平成25年,合計,236198,609784,161162,425199,72892,178729,2,2,30,38,2112,5816
2014年,平成26年,合計,230054,547048,154983,369288,72482,171581,8,8,89,89,2492,6082
2015年,平成27年,合計,226736,689086,151929,512229,72397,169750,4,4,40,41,2366,7062
2015年,平成27年,表示の登記,43234,222882,19381,196214,23853,26668,-,-,-,-,-,-
2015年,平成27年,所有権の保存,13055,14097,1034,1780,12021,12317,-,-,-,-,-,-
2015年,平成27年,所有権の取得,63528,166894,49702,127891,13826,39003,-,-,-,-,-,-
2015年,平成27年,抵当権の設定,19157,42741,13141,24505,6016,18236,-,-,-,-,-,-
2015年,平成27年,その他,87762,242472,68671,161839,16681,73526,4,4,40,41,2366,7062
