西暦,和暦,犯罪の種類,認知件数(件),検挙件数(件),検挙人員_総数(人),検挙人員_総数のうち少年(人)
2011年,平成23年,合計,37810,10076,7842,2257
2012年,平成24年,合計,32866,8816,6759,1680
2013年,平成25年,合計,31944,7170,5508,1344
2014年,平成26年,合計,28671,7475,5495,1281
2015年,平成27年,合計,24068,6382,4767,882
2015年,平成27年,凶悪犯,100,76,83,10
2015年,平成27年,凶悪犯_殺人,17,15,13,-
2015年,平成27年,凶悪犯_殺人_殺人,17,15,13,-
2015年,平成27年,凶悪犯_殺人_嬰児殺,-,-,-,-
2015年,平成27年,凶悪犯_殺人_殺人予備,-,-,-,-
2015年,平成27年,凶悪犯_殺人_自殺関与,-,-,-,-
2015年,平成27年,凶悪犯_強盗,41,25,38,5
2015年,平成27年,凶悪犯_強盗_強盗殺人,1,-,-,-
2015年,平成27年,凶悪犯_強盗_強盗傷人,16,13,26,4
2015年,平成27年,凶悪犯_強盗_強盗強姦,-,-,-,-
2015年,平成27年,凶悪犯_強盗_強盗・準強盗,24,12,12,1
2015年,平成27年,凶悪犯_放火,17,19,10,3
2015年,平成27年,凶悪犯_強姦,25,17,22,2
2015年,平成27年,粗暴犯,1220,963,1007,109
2015年,平成27年,粗暴犯_凶器準備集合,-,-,-,-
2015年,平成27年,粗暴犯_暴行,571,418,377,24
2015年,平成27年,粗暴犯_傷害,536,450,517,56
2015年,平成27年,粗暴犯_脅迫,57,49,47,2
2015年,平成27年,粗暴犯_恐喝,56,46,66,27
2015年,平成27年,窃盗犯,17724,3635,2290,538
2015年,平成27年,知能犯,777,358,267,16
2015年,平成27年,知能犯_詐欺,684,294,216,11
2015年,平成27年,知能犯_横領,36,22,19,1
2015年,平成27年,知能犯_偽造,53,39,29,4
2015年,平成27年,知能犯_汚職,3,3,3,-
2015年,平成27年,知能犯_背任,1,-,-,-
2015年,平成27年,風俗犯,237,183,103,7
2015年,平成27年,風俗犯_賭博,2,2,8,-
2015年,平成27年,風俗犯_わいせつ,235,181,95,7
2015年,平成27年,風俗犯_わいせつ_(うち)強制わいせつ,169,115,58,5
2015年,平成27年,風俗犯_わいせつ_(うち)公然わいせつ,47,50,30,2
2015年,平成27年,その他の刑法犯,4010,1167,1017,202
2015年,平成27年,その他の刑法犯_占有離脱物横領,771,585,571,129
2015年,平成27年,その他の刑法犯_公務執行妨害,61,63,53,3
2015年,平成27年,その他の刑法犯_住居侵入,181,106,95,26
2015年,平成27年,その他の刑法犯_その他,2997,413,298,44
