西暦,和暦,刑法犯の種類,総数(人),20歳未満(人),20〜29歳(人),30〜39歳(人),40〜49歳(人),50〜59歳(人),60〜69歳(人),70歳以上(人)
2011年,平成23年,合計,7842,2270,1271,899,849,694,971,888
2012年,平成24年,合計,6759,1695,1126,868,880,590,804,796
2013年,平成25年,合計,5508,1363,875,751,690,521,615,693
2014年,平成26年,合計,5495,1302,935,727,781,529,604,617
2015年,平成27年,合計,4767,892,912,650,729,505,560,519
2015年,平成27年,凶悪犯,83,11,31,20,14,4,-,3
2015年,平成27年,粗暴犯,1007,110,176,197,225,130,107,62
2015年,平成27年,窃盗犯,2290,543,369,229,275,230,294,350
2015年,平成27年,知能犯,267,17,40,46,76,41,34,13
2015年,平成27年,風俗犯,103,8,19,21,21,11,12,11
2015年,平成27年,その他の刑法犯,1017,203,277,137,118,89,113,80
