西暦,和暦,ぐ犯・不良行為の種類,総数(人),8歳以下(人),9歳(人),10歳(人),11歳(人),12歳(人),13歳(人),14歳(人),15歳(人),16歳(人),17歳(人),18歳(人),19歳(人)
2011年,平成23年,合計,47084,2,1,29,55,485,2217,4971,8366,14893,11274,3459,1332
2012年,平成24年,合計,45086,3,3,8,39,277,1156,3889,8288,13719,12521,3962,1221
2013年,平成25年,合計,30122,-,-,7,26,186,826,2057,4944,9818,8076,2991,1191
2014年,平成26年,合計,27967,2,2,6,26,163,849,1735,4069,9006,7838,2906,1365
2015年,平成27年,合計,24686,1,1,6,9,68,495,1228,3632,7274,7196,3134,1642
2015年,平成27年,ぐ犯行為,10,-,-,-,-,1,-,4,1,2,2,-,-
2015年,平成27年,不良行為,24676,1,1,6,9,67,495,1224,3631,7272,7194,3134,1642
2015年,平成27年,不良行為_飲酒,249,-,-,-,-,2,1,6,12,25,24,77,102
2015年,平成27年,不良行為_喫煙,8351,-,-,-,-,6,141,300,792,1721,1838,2022,1531
2015年,平成27年,不良行為_薬物乱用,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_粗暴行為,78,1,-,3,1,6,14,13,23,7,6,2,2
2015年,平成27年,不良行為_刃物等所持,3,-,-,-,-,-,-,2,-,-,-,-,1
2015年,平成27年,不良行為_金品不正要求,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_金品持ち出し,4,-,-,1,-,1,-,1,-,-,-,1,-
2015年,平成27年,不良行為_性的いたずら,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_暴走行為,42,-,-,-,-,-,-,-,1,21,10,5,5
2015年,平成27年,不良行為_家出,9,-,-,-,-,-,3,1,1,3,1,-,-
2015年,平成27年,不良行為_無断外泊,99,-,-,-,-,-,2,6,29,33,23,6,-
2015年,平成27年,不良行為_深夜はいかい,15655,-,1,2,8,47,296,853,2723,5436,5275,1014,-
2015年,平成27年,不良行為_怠学,156,-,-,-,-,5,38,38,36,20,13,6,-
2015年,平成27年,不良行為_不健全性的行為,3,-,-,-,-,-,-,-,-,-,3,-,-
2015年,平成27年,不良行為_不良交友,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_不健全娯楽,27,-,-,-,-,-,-,4,14,6,1,1,1
