西暦,和暦,ぐ犯・不良行為の種類,総数(人),小学生以下(人),中学生(人),高校生(人),大学生(人),その他学生(人),有職(人),無職(人)
2011年,平成23年,合計,47084,166,10991,20198,908,1133,4954,8734
2012年,平成24年,合計,45086,124,8268,21933,703,984,5781,7293
2013年,平成25年,合計,30122,71,4660,14282,585,606,5231,4687
2014年,平成26年,合計,27967,65,3891,14198,625,519,5047,3622
2015年,平成27年,合計,24686,29,2897,12267,888,631,4737,3237
2015年,平成27年,ぐ犯行為,10,1,4,2,-,-,-,3
2015年,平成27年,不良行為,24676,28,2893,12265,888,631,4737,3234
2015年,平成27年,不良行為_飲酒,249,2,8,39,95,24,60,21
2015年,平成27年,不良行為_喫煙,8351,-,721,2561,791,481,2452,1345
2015年,平成27年,不良行為_薬物乱用,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_粗暴行為,78,5,44,21,1,1,2,4
2015年,平成27年,不良行為_刃物等所持,3,-,2,-,1,-,-,-
2015年,平成27年,不良行為_金品不正要求,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_金品持ち出し,4,2,1,1,-,-,-,-
2015年,平成27年,不良行為_性的いたずら,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_暴走行為,42,-,-,10,-,3,20,9
2015年,平成27年,不良行為_家出,9,-,5,3,-,-,-,1
2015年,平成27年,不良行為_無断外泊,99,-,16,52,-,-,12,19
2015年,平成27年,不良行為_深夜はいかい,15655,19,1979,9513,-,122,2189,1833
2015年,平成27年,不良行為_怠学,156,-,106,50,-,-,-,-
2015年,平成27年,不良行為_不健全性的行為,3,-,-,3,-,-,-,-
2015年,平成27年,不良行為_不良交友,-,-,-,-,-,-,-,-
2015年,平成27年,不良行為_不健全娯楽,27,-,11,12,-,-,2,2
