西暦,和暦,種類,総数(人),10歳未満(人),10歳(人),11歳(人),12歳(人),13歳(人),14歳(人),15歳(人),16歳(人),17歳(人),18歳(人),19歳(人)
2011年,平成23年,合計,2772,23,16,26,106,344,638,538,406,246,223,206
2012年,平成24年,合計,2096,34,17,44,85,236,418,428,300,201,166,167
2013年,平成25年,合計,1713,32,19,31,70,217,373,307,261,154,110,139
2014年,平成26年,合計,1658,53,17,25,56,226,299,264,256,165,137,160
2015年,平成27年,合計,1128,26,12,31,53,124,171,158,183,106,123,141
2015年,平成27年,殺人,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,強盗,5,-,-,-,-,-,-,-,-,-,1,4
2015年,平成27年,放火,3,-,-,-,-,-,-,-,1,-,1,1
2015年,平成27年,強姦,2,-,-,-,-,-,-,1,-,-,-,1
2015年,平成27年,凶器準備集合,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,暴行,48,-,1,-,5,18,5,3,1,6,5,4
2015年,平成27年,傷害,74,-,1,5,2,10,11,5,11,9,10,10
2015年,平成27年,脅迫,4,-,-,-,-,2,-,-,-,1,-,1
2015年,平成27年,恐喝,30,-,-,-,1,2,2,2,9,3,8,3
2015年,平成27年,窃盗,691,17,7,22,36,71,128,105,125,56,55,69
2015年,平成27年,詐欺,11,-,-,-,-,-,-,-,-,5,1,5
2015年,平成27年,横領,2,-,-,-,1,-,-,-,-,-,-,1
2015年,平成27年,賭博,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,わいせつ,9,-,-,-,1,1,2,-,-,-,4,1
2015年,平成27年,盗品,23,-,-,-,1,4,4,7,5,2,-,-
2015年,平成27年,占有離脱物横領,147,2,1,4,1,10,14,20,17,14,28,36
2015年,平成27年,その他,79,7,2,-,5,6,5,15,14,10,10,5
