西暦,和暦,年齢階級等,死傷者計(人),死傷者計_男(人),死傷者計_女(人),死者(人),死者_男(人),死者_女(人),負傷者(人),負傷者_男(人),負傷者_女(人)
2011年,平成23年,総数,17168,10121,7047,103,67,36,17065,10054,7011
2012年,平成24年,総数,15194,8915,6279,106,63,43,15088,8852,6236
2013年,平成25年,総数,13871,8167,5704,70,44,26,13801,8123,5678
2014年,平成26年,総数,12456,7396,5060,69,48,21,12387,7348,5039
2015年,平成27年,総数,11349,6705,4644,87,64,23,11262,6641,4621
2015年,平成27年,15歳以下,622,372,250,2,2,-,620,370,250
2015年,平成27年,16〜19歳,632,416,216,3,2,1,629,414,215
2015年,平成27年,20〜24歳,1169,741,428,10,8,2,1159,733,426
2015年,平成27年,25〜29歳,1056,647,409,-,-,-,1056,647,409
2015年,平成27年,30〜39歳,2109,1305,804,5,5,-,2104,1300,804
2015年,平成27年,40〜49歳,2094,1288,806,9,8,1,2085,1280,805
2015年,平成27年,50〜59歳,1361,799,562,10,10,-,1351,789,562
2015年,平成27年,60〜64歳,581,297,284,4,2,2,577,295,282
2015年,平成27年,65〜69歳,674,349,325,7,4,3,667,345,322
2015年,平成27年,70歳以上,1051,491,560,37,23,14,1014,468,546
2015年,平成27年,(再掲)幼児,155,93,62,-,-,-,155,93,62
2015年,平成27年,(再掲)小学生,297,181,116,2,2,-,295,179,116
2015年,平成27年,(再掲)中学生,114,65,49,-,-,-,114,65,49
