車種,2011年(件),2012年(件),2013年(件),2014年(件),2015年(件)
総数,14087,12371,11387,10185,9328
乗用,9719,8409,7721,6872,6358
乗用_大型,128,99,90,109,94
乗用_中型,27,15,10,7,9
乗用_普通,6817,5920,5399,4717,4319
乗用_軽自動車,2745,2374,2221,2036,1935
乗用_ミニカー,2,1,1,3,1
貨物,2565,2277,2132,1829,1628
貨物_大型,149,152,131,118,103
貨物_中型,335,323,309,289,276
貨物_普通,862,726,663,542,513
貨物_軽自動車,1219,1076,1029,880,736
特殊車,16,16,8,15,13
自動二輪車,421,373,368,295,269
原付車,754,686,598,562,429
軽車両,203,259,279,348,341
軽車両_自転車,203,259,278,348,340
軽車両_その他,-,-,1,-,1
歩行者,8,26,21,52,61
不明,401,325,260,212,229
