事故原因,2011年(件),2012年(件),2013年(件),2014年(件),2015年(件)
総数,14087,12371,11387,10185,9328
車両,13678,12020,11106,9921,9038
車両_信号無視,273,218,221,228,264
車両_通行禁止違反,2,6,4,8,1
車両_通行区分違反,45,50,54,41,51
車両_車両通行帯違反,-,-,-,-,-
車両_最高速度違反,1,2,7,2,6
車両_後退禁止違反,1,-,1,-,-
車両_横断・転回違反,17,14,8,15,11
車両_車間距離不保持,12,20,21,11,18
車両_進路変更禁止違反,-,3,7,4,10
車両_通行妨害(車両等),2,10,9,8,3
車両_追越し違反,23,52,43,33,35
車両_割込み等,3,1,3,1,-
車両_踏切不停止等,2,1,3,1,-
車両_右折違反,43,60,39,44,41
車両_左折違反,33,46,38,37,35
車両_優先通行妨害等,66,110,77,71,85
車両_交差点安全進行義務違反,278,731,604,487,348
車両_横断歩行者妨害等,189,228,219,219,190
車両_通行妨害(歩行者),17,23,21,24,16
車両_横断自転車妨害等,223,209,210,183,165
車両_徐行場所違反,119,130,96,73,82
車両_指定場所一時不停止等,224,259,203,226,200
車両_合図不履行等,-,3,-,-,-
車両_積載不適当,1,7,5,2,-
車両_自転車の通行方法違反,3,8,2,3,2
車両_酒酔い運転,1,-,1,1,2
車両_過労運転,5,10,9,6,12
車両_安全運転義務違反,12049,9753,9146,8136,7387
車両_安全不確認ドア開放等,34,49,47,47,61
車両_その他の違反,8,16,8,10,12
車両_調査不能,4,1,-,-,1
歩行者,8,26,21,52,61
歩行者_信号無視,1,8,7,22,16
歩行者_横断禁止場所の横断等,5,9,8,18,32
歩行者_飛び出し,-,6,1,7,6
歩行者_その他の違反,2,3,5,5,7
不明,401,325,260,212,229
