西暦,和暦,月,地域コード,地域,発生件数(件),損害額(千円),り災世帯数_全損(世帯),り災世帯数_半損(世帯),り災世帯数_小損(世帯),焼損面積等_建物(m2),焼損面積等_林野(a),焼損面積等_車両(件),焼損面積等_船舶(隻),焼損むね数_全焼(棟),焼損むね数_半焼(棟),焼損むね数_部分焼(棟),焼損むね数_ぼや(棟),死者(人),負傷者(人),り災者数(人)
2010年,平成22年,合計,26000,京都府,554,1075359,69,37,226,15681,151,69,1,104,55,165,177,29,147,733
2011年,平成23年,合計,26000,京都府,610,1356106,75,35,294,16882,1297,70,1,119,47,173,233,29,138,822
2012年,平成24年,合計,26000,京都府,645,1124050,54,24,267,13996,151,68,-,109,41,155,268,37,143,717
2013年,平成25年,合計,26000,京都府,624,1510693,59,43,263,13432,510,55,-,96,49,164,238,31,172,768
2014年,平成26年,合計,26000,京都府,537,938134,52,27,269,13457,134,69,1,89,25,133,233,30,102,734
2014年,平成26年,1月,26000,京都府,47,118603,10,6,31,1319,16,7,-,10,4,17,16,6,12,111
2014年,平成26年,2月,26000,京都府,41,23407,2,1,21,591,6,3,-,7,2,5,20,2,9,38
2014年,平成26年,3月,26000,京都府,60,58902,6,2,34,1460,7,4,-,9,3,19,26,3,10,101
2014年,平成26年,4月,26000,京都府,57,56438,3,2,18,814,99,5,-,6,2,12,14,1,6,49
2014年,平成26年,5月,26000,京都府,46,19880,3,2,28,679,6,8,-,9,-,15,26,2,6,61
2014年,平成26年,6月,26000,京都府,42,33288,3,-,16,648,-,7,-,4,-,8,21,2,10,39
2014年,平成26年,7月,26000,京都府,37,73799,5,5,28,1248,-,3,1,6,4,9,25,2,13,71
2014年,平成26年,8月,26000,京都府,42,172181,6,4,13,1665,-,10,-,9,4,9,16,4,7,49
2014年,平成26年,9月,26000,京都府,38,56905,3,-,9,977,-,4,-,5,-,6,15,1,6,26
2014年,平成26年,10月,26000,京都府,43,134468,2,-,13,1925,-,7,-,9,-,5,19,1,8,31
2014年,平成26年,11月,26000,京都府,40,57660,3,3,22,759,-,5,-,6,3,12,14,1,8,66
2014年,平成26年,12月,26000,京都府,44,132603,6,2,36,1372,-,6,-,9,3,16,21,5,7,92
2014年,平成26年,合計,26100,京都市,236,233135,18,20,150,3725,15,29,-,26,16,71,118,17,53,349
2014年,平成26年,合計,26201,福知山市,39,42679,5,1,5,763,22,6,-,5,-,3,16,2,8,20
2014年,平成26年,合計,26202,舞鶴市,19,61485,4,1,9,1407,-,1,1,9,2,4,13,2,2,27
2014年,平成26年,合計,26203,綾部市,12,16185,-,-,1,534,-,3,-,4,-,3,-,1,1,1
2014年,平成26年,合計,26204,宇治市,38,19511,2,2,19,691,-,3,-,2,1,4,17,2,7,53
2014年,平成26年,合計,26205,宮津市,11,44094,2,-,5,471,-,-,-,2,-,1,7,1,2,15
2014年,平成26年,合計,26206,亀岡市,20,21281,3,-,8,656,-,5,-,4,1,1,9,1,3,25
2014年,平成26年,合計,26207,城陽市,20,42567,3,-,7,323,4,2,-,4,-,8,3,-,2,25
2014年,平成26年,合計,26208,向日市,10,13254,2,-,9,100,-,1,-,2,-,2,8,-,2,22
2014年,平成26年,合計,26209,長岡京市,22,12559,2,1,12,237,-,4,-,1,-,7,9,-,5,39
2014年,平成26年,合計,26210,八幡市,13,16321,-,-,7,32,-,3,-,2,-,6,2,-,1,17
2014年,平成26年,合計,26211,京田辺市,17,144102,1,-,4,1373,16,4,-,7,1,6,1,-,3,15
2014年,平成26年,合計,26212,京丹後市,20,58070,3,1,7,966,-,4,-,7,1,4,8,3,2,28
2014年,平成26年,合計,26213,南丹市,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,合計,26214,木津川市,15,36743,3,1,9,567,-,-,-,6,2,2,8,-,3,38
2014年,平成26年,合計,26303,乙訓郡大山崎町,4,39,-,-,1,-,2,1,-,-,-,-,2,-,-,4
2014年,平成26年,合計,26322,久世郡久御山町,10,128969,1,-,-,870,-,-,-,4,1,-,2,-,4,4
2014年,平成26年,合計,26343,綴喜郡井手町,4,17581,1,-,4,149,-,-,-,1,-,4,3,-,2,15
2014年,平成26年,合計,26344,綴喜郡宇治田原町,7,1116,-,-,8,3,-,3,-,-,-,2,2,1,1,12
2014年,平成26年,合計,26364,相楽郡笠置町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,合計,26365,相楽郡和束町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,合計,26366,相楽郡精華町,7,1125,-,-,1,6,72,-,-,-,-,2,3,-,-,2
2014年,平成26年,合計,26367,相楽郡南山城村,2,13096,-,-,1,318,3,-,-,1,-,1,-,-,-,4
2014年,平成26年,合計,26407,船井郡京丹波町,5,14211,2,-,-,266,-,-,-,2,-,2,-,-,1,12
2014年,平成26年,合計,26463,与謝郡伊根町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,合計,26465,与謝郡与謝野町,4,11,-,-,2,-,-,-,-,-,-,-,2,-,-,7
