西暦,和暦,地域コード,地域等,消防吏員数(人),消防団員数(人),消防自動車等保有数(台),消防自動車等保有数_消防ポンプ車(台),消防自動車等保有数_小型動力ポンプ(台),消防自動車等保有数_はしご付自動車(台),消防自動車等保有数_化学消防車(台),消防自動車等保有数_救急車(台),消防自動車等保有数_無線指揮車(台),消防自動車等保有数_小型動力ポンプ積載車(台),消防自動車等保有数_その他の消防車(台),消火栓(基),防火水槽(基)
2011年,平成23年,26000,京都府,3351,18392,2551,312,1244,31,21,109,45,616,173,38330,12337
2012年,平成24年,26000,京都府,3357,18181,2619,287,1330,35,21,109,42,615,180,38928,12414
2013年,平成25年,26000,京都府,3344,18196,2621,287,1325,34,18,104,44,617,192,40528,12643
2014年,平成26年,26000,京都府,3340,17941,2660,301,1334,32,18,112,51,619,193,41047,12612
2015年,平成27年,26000,京都府,3323,17838,2627,290,1313,32,18,114,50,622,188,41179,12680
2015年,平成27年,26100,京都市,1772,4258,710,76,419,19,4,46,17,40,89,16339,2784
2015年,平成27年,26201,福知山市,124,1932,227,12,101,1,1,6,2,96,8,2273,1327
2015年,平成27年,26202,舞鶴市,134,1114,122,24,73,1,2,5,1,8,8,1576,548
2015年,平成27年,26203,綾部市,52,891,113,17,43,-,1,4,1,42,5,466,771
2015年,平成27年,26204,宇治市,211,365,62,8,20,3,2,6,4,7,12,2748,766
2015年,平成27年,26207,城陽市,87,275,47,10,24,1,1,4,1,2,4,1554,389
2015年,平成27年,26210,八幡市,69,316,41,3,14,1,1,3,1,14,4,666,275
2015年,平成27年,26211,京田辺市,100,316,93,5,36,1,1,5,1,30,14,1945,713
2015年,平成27年,26212,京丹後市,96,1640,176,42,72,-,1,5,7,43,6,1509,645
2015年,平成27年,26322,久御山町,36,194,24,1,13,1,1,2,-,-,6,490,212
2015年,平成27年,26366,精華町,51,277,38,3,17,-,-,2,1,14,1,1163,314
2015年,平成27年,-,相楽中部消防組合,130,-,31,7,-,1,1,7,3,-,12,-,-
2015年,平成27年,26214,木津川市(相楽中部消防組合),-,726,87,1,47,-,-,-,3,36,-,1863,512
2015年,平成27年,26364,笠置町(相楽中部消防組合),-,93,18,-,9,-,-,-,-,8,1,49,26
2015年,平成27年,26365,和束町(相楽中部消防組合),-,204,35,1,17,-,-,-,-,17,-,354,119
2015年,平成27年,26367,南山城村(相楽中部消防組合),-,147,30,1,14,-,-,-,1,14,-,97,75
2015年,平成27年,-,宮津与謝消防組合,93,-,21,5,4,-,-,5,1,-,6,-,-
2015年,平成27年,26205,宮津市(宮津与謝消防組合),-,447,55,13,21,-,-,-,1,19,1,732,141
2015年,平成27年,26463,伊根町(宮津与謝消防組合),-,152,16,2,7,-,-,-,-,7,-,1,46
2015年,平成27年,26465,与謝野町(宮津与謝消防組合),-,358,30,12,8,-,-,-,2,8,-,54,317
2015年,平成27年,-,京都中部広域消防組合,187,-,27,11,-,2,1,9,2,-,2,-,-
2015年,平成27年,26206,亀岡市(京都中部広域消防組合),-,899,127,1,75,-,-,-,-,49,2,1630,749
2015年,平成27年,26213,南丹市(京都中部広域消防組合),-,1470,289,16,184,-,-,-,-,89,-,1439,555
2015年,平成27年,26407,京丹波町(京都中部広域消防組合),-,831,115,3,57,-,-,-,-,55,-,1602,485
2015年,平成27年,-,乙訓消防組合,181,-,22,6,2,1,1,5,1,-,6,-,-
2015年,平成27年,26208,向日市(乙訓消防組合),-,150,-,-,-,-,-,-,-,-,-,573,236
2015年,平成27年,26209,長岡京市(乙訓消防組合),-,150,8,5,1,-,-,-,-,1,1,989,373
2015年,平成27年,26303,大山崎町(乙訓消防組合),-,96,9,3,3,-,-,-,-,3,-,179,87
2015年,平成27年,26343,井手町(消防事務委託町),-,245,25,1,13,-,-,-,-,11,-,316,67
2015年,平成27年,26344,宇治田原町(消防事務委託町),-,292,29,1,19,-,-,-,-,9,-,572,148
