西暦,和暦,地域等,救急出場件数(件),救急出場件数_交通事故(件),救急出場件数_急病(件),救急出場件数_その他(件),搬送人員(人),搬送人員_交通事故(人),搬送人員_急病(人),搬送人員_その他(人),救急告示医療機関(機関)
2010年,平成22年,合計,120864,15807,76366,28691,111203,15987,70025,25191,92
2011年,平成23年,合計,126618,15702,80307,30609,115701,15671,73211,26819,91
2012年,平成24年,合計,128500,14780,82744,30976,117436,14902,75427,27107,91
2013年,平成25年,合計,130675,14665,84638,31372,119739,14598,77286,27855,91
2014年,平成26年,合計,132822,13958,86136,32728,122964,14389,79477,29098,90
2014年,平成26年,京都市,81743,8735,53621,19387,74205,8532,48622,17051,54
2014年,平成26年,福知山市,3825,-,2383,1442,3601,446,2198,957,3
2014年,平成26年,舞鶴市,3497,347,2265,885,3346,388,2131,827,3
2014年,平成26年,綾部市,1591,142,1035,414,1530,153,980,397,1
2014年,平成26年,宇治市,8394,917,5432,2045,7932,900,5164,1868,7
2014年,平成26年,城陽市,3586,337,2491,758,3455,353,2400,702,1
2014年,平成26年,八幡市,3631,444,2311,876,3429,469,2163,797,3
2014年,平成26年,京田辺市,3880,421,2418,1041,3722,425,2322,975,1
2014年,平成26年,京丹後市,2410,242,1499,669,2255,251,1394,610,3
2014年,平成26年,久御山町,1147,280,616,251,1130,288,603,239,1
2014年,平成26年,精華町,1377,130,831,416,1317,140,780,397,2
2014年,平成26年,相楽中部消防組合,3321,338,2174,809,3229,361,2086,782,1
2014年,平成26年,宮津与謝消防組合,2077,151,1426,500,2025,162,1370,493,1
2014年,平成26年,京都中部広域消防組合,6275,713,3931,1631,6050,768,3723,1559,5
2014年,平成26年,乙訓消防組合,6068,761,3703,1604,5738,753,3541,1444,4
