西暦,和暦,種別,学校数(校),学校数_本校(校),学校数_分校(校),教員数(人),教員数_男(人),教員数_女(人),園児・児童・生徒・学生数(人),園児・児童・生徒・学生数_男(人),園児・児童・生徒・学生数_女(人)
2011年度,平成23年度,合計,1162,1143,19,34038,19496,14542,501094,257314,243780
2011年度,平成23年度,国立,11,11,-,3963,3511,452,32626,23690,8936
2011年度,平成23年度,公立,755,736,19,19327,9522,9805,249862,127348,122514
2011年度,平成23年度,私立,396,396,-,10748,6463,4285,218606,106276,112330
2012年度,平成24年度,合計,1158,1138,20,34474,19698,14776,501151,257349,243802
2012年度,平成24年度,国立,11,11,-,4072,3597,475,32742,23723,9019
2012年度,平成24年度,公立,753,734,19,19515,9574,9941,248929,126883,122046
2012年度,平成24年度,私立,394,393,1,10887,6527,4360,219480,106743,112737
2013年度,平成25年度,合計,1152,1131,21,34511,19642,14869,499395,255926,243469
2013年度,平成25年度,国立,11,11,-,4070,3572,498,32869,23767,9102
2013年度,平成25年度,公立,745,725,20,19409,9501,9908,245651,125406,120245
2013年度,平成25年度,私立,396,395,1,11032,6569,4463,220875,106753,114122
2014年度,平成26年度,合計,1136,1116,20,34761,19737,15024,496812,253962,242850
2014年度,平成26年度,国立,11,11,-,4159,3644,515,32669,23625,9044
2014年度,平成26年度,公立,732,713,19,19388,9474,9914,242593,123798,118795
2014年度,平成26年度,私立,393,392,1,11214,6619,4595,221550,106539,115011
2015年度,平成27年度,合計,1140,1120,20,35349,19733,15616,495145,252721,242424
2015年度,平成27年度,国立,11,11,-,4138,3591,547,32569,23504,9065
2015年度,平成27年度,公立,723,704,19,19434,9421,10013,240004,122571,117433
2015年度,平成27年度,私立,406,405,1,11777,6721,5056,222572,106646,115926
2015年度,平成27年度,小学校,404,400,4,8633,3212,5421,131247,67071,64176
2015年度,平成27年度,小学校_国立,2,2,-,45,24,21,980,491,489
2015年度,平成27年度,小学校_公立,391,387,4,8300,3049,5251,125788,64528,61260
2015年度,平成27年度,小学校_私立,11,11,-,288,139,149,4479,2052,2427
2015年度,平成27年度,中学校,202,201,1,5381,3100,2281,70853,35801,35052
2015年度,平成27年度,中学校_国立,2,2,-,46,27,19,700,341,359
2015年度,平成27年度,中学校_公立,174,173,1,4782,2743,2039,61596,31649,29947
2015年度,平成27年度,中学校_私立,26,26,-,553,330,223,8557,3811,4746
2015年度,平成27年度,高等学校,105,97,8,5280,3610,1670,72131,35868,36263
2015年度,平成27年度,高等学校_国立,1,1,-,37,28,9,609,302,307
2015年度,平成27年度,高等学校_公立,64,56,8,3388,2318,1070,40169,20319,19850
2015年度,平成27年度,高等学校_私立,40,40,-,1855,1264,591,31353,15247,16106
2015年度,平成27年度,特別支援学校,25,19,6,1857,724,1133,2736,1767,969
2015年度,平成27年度,特別支援学校_国立,1,1,-,32,16,16,69,43,26
2015年度,平成27年度,特別支援学校_公立,24,18,6,1825,708,1117,2667,1724,943
2015年度,平成27年度,幼稚園,220,219,1,2234,138,2096,26924,13555,13369
2015年度,平成27年度,幼稚園_国立,1,1,-,8,1,7,139,69,70
2015年度,平成27年度,幼稚園_公立,62,62,-,365,14,351,3999,2010,1989
2015年度,平成27年度,幼稚園_私立,157,156,1,1861,123,1738,22786,11476,11310
2015年度,平成27年度,幼保連携型認定こども園,16,16,-,367,23,344,2298,1154,1144
2015年度,平成27年度,幼保連携型認定こども園_公立,1,1,-,13,-,13,123,61,62
2015年度,平成27年度,幼保連携型認定こども園_私立,15,15,-,354,23,331,2175,1093,1082
2015年度,平成27年度,専修学校,66,66,-,859,417,442,15541,7707,7834
2015年度,平成27年度,専修学校_公立,4,4,-,44,12,32,323,69,254
2015年度,平成27年度,専修学校_私立,62,62,-,815,405,410,15218,7638,7580
2015年度,平成27年度,各種学校(私立),52,52,-,312,223,89,4504,2102,2402
2015年度,平成27年度,高等学校通信制,9,(独立校1、併置校8),※「学校数_本校」参照,89,57,32,2097,1043,1054
2015年度,平成27年度,高等学校通信制_公立,2,(独立校−、併置校2),※「学校数_本校」参照,32,22,10,758,368,390
2015年度,平成27年度,高等学校通信制_私立,7,(独立校1、併置校6),※「学校数_本校」参照,57,35,22,1339,675,664
2015年度,平成27年度,高等学校通信制_うち通信制独立校(私立),1,1,-,18,10,8,390,163,227
2015年度,平成27年度,大学,34,34,-,10027,8051,1976,161238,85289,75949
2015年度,平成27年度,大学_国立,3,3,-,3909,3437,472,29211,21479,7732
2015年度,平成27年度,大学_公立,3,3,-,685,555,130,4581,1843,2738
2015年度,平成27年度,大学_私立,28,28,-,5433,4059,1374,127446,61967,65479
2015年度,平成27年度,短期大学(私立),14,14,-,249,120,129,4715,585,4130
2015年度,平成27年度,高等専門学校(国立),1,1,-,61,58,3,861,779,82
