西暦,和暦,学校,構造,総数(m2),公立(m2),公立_校舎(m2),公立_屋内運動場(m2),公立_寄宿舎(m2),私立(m2),私立_校舎(m2),私立_屋内運動場(m2),私立_寄宿舎(m2)
2011年度,平成23年度,合計,合計,5126038,3936690,3345758,574703,16229,1189348,…,…,…
2012年度,平成24年度,合計,合計,5154061,3949446,3358736,575270,15440,1204615,…,…,…
2013年度,平成25年度,合計,合計,5139305,3935878,3344021,576417,15440,1203427,…,…,…
2014年度,平成26年度,合計,合計,5114250,3909176,3324787,569280,15109,1205074,…,…,…
2015年度,平成27年度,合計,合計,5111940,3899089,3318598,564709,15782,1212851,…,…,…
2015年度,平成27年度,小学校,合計,1945445,1872984,1579271,292584,1129,72461,62117,10344,-
2015年度,平成27年度,小学校,木造,29146,28972,23954,4729,289,174,…,…,…
2015年度,平成27年度,小学校,鉄筋コンクリート造,1826247,1757545,1526851,229854,840,68702,…,…,…
2015年度,平成27年度,小学校,鉄骨造・その他,90052,86467,28466,58001,-,3585,…,…,…
2015年度,平成27年度,中学校,合計,1091184,1030208,866521,163001,686,60976,53671,7305,-
2015年度,平成27年度,中学校,木造,10802,9528,7240,2188,100,1274,…,…,…
2015年度,平成27年度,中学校,鉄筋コンクリート造,1043600,987247,844646,142015,586,56353,…,…,…
2015年度,平成27年度,中学校,鉄骨造・その他,36782,33433,14635,18798,-,3349,…,…,…
2015年度,平成27年度,高等学校,合計,1339194,771719,670428,96648,4643,567475,439413,110617,17445
2015年度,平成27年度,高等学校,木造,14738,3945,2784,819,342,10793,…,…,…
2015年度,平成27年度,高等学校,鉄筋コンクリート造,1200992,702720,636551,62341,3828,498272,…,…,…
2015年度,平成27年度,高等学校,鉄骨造・その他,123464,65054,31093,33488,473,58410,…,…,…
2015年度,平成27年度,特別支援学校,合計,160223,160223,141808,12220,6195,-,-,-,-
2015年度,平成27年度,特別支援学校,木造,467,467,258,209,-,-,-,-,-
2015年度,平成27年度,特別支援学校,鉄筋コンクリート造,142133,142133,126737,9381,6015,-,-,-,-
2015年度,平成27年度,特別支援学校,鉄骨造・その他,17623,17623,14813,2630,180,-,-,-,-
2015年度,平成27年度,幼稚園,合計,244276,51628,51628,-,-,192648,176534,15822,292
2015年度,平成27年度,幼稚園,木造,21303,2614,2614,-,-,18689,…,…,…
2015年度,平成27年度,幼稚園,鉄筋コンクリート造,150413,42245,42245,-,-,108168,…,…,…
2015年度,平成27年度,幼稚園,鉄骨造・その他,72560,6769,6769,-,-,65791,…,…,…
2015年度,平成27年度,幼保連携型認定こども園,合計,13333,875,875,-,-,12458,10753,1705,-
2015年度,平成27年度,幼保連携型認定こども園,木造,344,-,-,-,-,344,…,…,…
2015年度,平成27年度,幼保連携型認定こども園,鉄筋コンクリート造,11184,875,875,-,-,10309,…,…,…
2015年度,平成27年度,幼保連携型認定こども園,鉄骨造・その他,1805,-,-,-,-,1805,…,…,…
2015年度,平成27年度,専修学校,合計,249909,11452,8067,256,3129,238457,200069,4896,33492
2015年度,平成27年度,専修学校,木造,2103,-,-,-,-,2103,…,…,…
2015年度,平成27年度,専修学校,鉄筋コンクリート造,166426,10495,…,…,…,155931,…,…,…
2015年度,平成27年度,専修学校,鉄骨造・その他,81380,957,…,…,…,80423,…,…,…
2015年度,平成27年度,各種学校,合計,68376,-,-,-,-,68376,…,…,…
2015年度,平成27年度,各種学校,木造,5474,-,-,-,-,5474,…,…,…
2015年度,平成27年度,各種学校,鉄筋コンクリート造,39300,-,-,-,-,39300,…,…,…
2015年度,平成27年度,各種学校,鉄骨造・その他,23602,-,-,-,-,23602,…,…,…
