西暦,和暦,地域コード,地域,幼稚園_幼稚園数(園),幼稚園_幼稚園数_国・公立(園),幼稚園_幼稚園数_私立(園),幼稚園_教員数(本務者)(人),幼稚園_教員数(本務者)_男(人),幼稚園_教員数(本務者)_女(人),幼稚園_園児数(人),幼稚園_園児数_男(人),幼稚園_園児数_女(人),幼保連携型認定こども園_幼保連携型認定こども園数(園),幼保連携型認定こども園_幼保連携型認定こども園数_国・公立(園),幼保連携型認定こども園_幼保連携型認定こども園数_私立(園),幼保連携型認定こども園_教員数(本務者)(人),幼保連携型認定こども園_教員数(本務者)_男(人),幼保連携型認定こども園_教員数(本務者)_女(人),幼保連携型認定こども園_園児数(人),幼保連携型認定こども園_園児数_男(人),幼保連携型認定こども園_園児数_女(人),保育所_保育所数(所),保育所_保育所数_公営(所),保育所_在籍者数(人)
2011年度,平成23年度,26000,京都府,228,67,161,2216,132,2084,30099,15160,14939,・,・,・,・,・,・,・,・,・,482,162,52511
2012年度,平成24年度,26000,京都府,229,68,161,2237,130,2107,29602,14927,14675,・,・,・,・,・,・,・,・,・,482,162,52645
2013年度,平成25年度,26000,京都府,229,68,161,2240,132,2108,28817,14622,14195,・,・,・,・,・,・,・,・,・,486,161,53178
2014年度,平成26年度,26000,京都府,226,66,160,2234,134,2100,27934,14078,13856,・,・,・,・,・,・,・,・,・,489,155,53783
2015年度,平成27年度,26000,京都府,220,63,157,2234,138,2096,26924,13555,13369,16,1,15,367,23,344,2298,1154,1144,565,141,52327
2015年度,平成27年度,26100,京都市,119,17,102,1221,90,1131,14835,7443,7392,14,-,14,319,22,297,1896,964,932,255,21,27260
2015年度,平成27年度,26101,京都市北区,9,1,8,96,8,88,976,486,490,2,-,2,32,1,31,184,87,97,19,2,2244
2015年度,平成27年度,26102,京都市上京区,13,5,8,100,7,93,1128,554,574,-,-,-,-,-,-,-,-,-,13,1,1378
2015年度,平成27年度,26103,京都市左京区,16,1,15,162,16,146,1729,870,859,1,-,1,28,2,26,177,93,84,31,3,2920
2015年度,平成27年度,26104,京都市中京区,6,1,5,58,5,53,756,365,391,-,-,-,-,-,-,-,-,-,15,2,1876
2015年度,平成27年度,26105,京都市東山区,3,-,3,41,2,39,581,291,290,-,-,-,-,-,-,-,-,-,9,1,899
2015年度,平成27年度,26110,京都市山科区,10,-,10,113,7,106,1362,702,660,3,-,3,104,8,96,624,306,318,17,1,2333
