西暦,和暦,種別,総数(人),総数_男(人),総数_女(人),園長_男(人),園長_女(人),副園長_男(人),副園長_女(人),教頭_男(人),教頭_女(人),主幹教諭_男(人),主幹教諭_女(人),指導教諭_男(人),指導教諭_女(人),教諭_男(人),教諭_女(人),助教諭_女(人),養護教諭_男(人),養護教諭_女(人),養護助教諭_女(人),栄養教諭_女(人),講師_男(人),講師_女(人)
2011年度,平成23年度,本務者,2216,132,2084,89,109,6,43,2,57,1,37,1,20,18,1665,8,-,9,1,-,15,135
2011年度,平成23年度,兼務者,296,37,259,17,4,2,3,-,1,-,-,-,-,-,99,1,-,23,-,-,18,128
2012年度,平成24年度,本務者,2237,130,2107,88,112,7,50,2,55,1,36,1,21,21,1663,16,-,9,1,-,10,144
2012年度,平成24年度,兼務者,315,35,280,15,4,3,3,-,2,-,-,-,-,-,112,4,-,24,-,-,17,131
2013年度,平成25年度,本務者,2240,132,2108,85,114,7,50,4,59,1,42,-,21,25,1641,15,-,10,1,1,10,154
2013年度,平成25年度,兼務者,347,31,316,13,6,3,3,-,2,-,-,-,-,-,139,4,-,24,-,-,15,138
2014年度,平成26年度,本務者,2234,134,2100,83,111,9,54,3,59,1,44,-,23,28,1617,18,-,8,2,1,10,163
2014年度,平成26年度,兼務者,351,27,324,13,6,2,3,-,1,-,-,-,-,-,143,7,1,17,-,-,11,147
2015年度,平成27年度,本務者,2234,138,2096,81,112,13,56,5,59,-,44,-,22,30,1618,15,-,9,1,1,9,159
2015年度,平成27年度,本務者_国立,8,1,7,-,-,-,1,-,-,-,-,-,-,1,4,-,-,2,-,-,-,-
2015年度,平成27年度,本務者_公立,365,14,351,5,52,-,11,2,31,-,-,-,-,7,177,-,-,5,-,-,-,75
2015年度,平成27年度,本務者_私立,1861,123,1738,76,60,13,44,3,28,-,44,-,22,22,1437,15,-,2,1,1,9,84
2015年度,平成27年度,兼務者,394,27,367,12,5,3,2,-,-,-,-,-,1,-,166,20,1,17,-,-,11,156
2015年度,平成27年度,兼務者_国立,4,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
2015年度,平成27年度,兼務者_公立,134,3,131,2,1,-,-,-,-,-,-,-,1,-,1,7,-,16,-,-,1,105
2015年度,平成27年度,兼務者_私立,256,23,233,9,4,3,2,-,-,-,-,-,-,-,165,13,1,1,-,-,10,48
