西暦,和暦,地域コード,地域,学校数(校),学校数_本校(校),学校数_分校(校),学級数(学級),教員数(人),教員数_男(人),教員数_女(人),児童数(人),児童数_男(人),児童数_女(人)
2011年度,平成23年度,26000,京都府,432,427,5,5682,8753,3258,5495,137409,70077,67332
2012年度,平成24年度,26000,京都府,428,423,5,5652,8744,3269,5475,135428,69092,66336
2013年度,平成25年度,26000,京都府,420,415,5,5593,8624,3213,5411,133804,68271,65533
2014年度,平成26年度,26000,京都府,413,409,4,5573,8613,3209,5404,132437,67665,64772
2015年度,平成27年度,26000,京都府,404,400,4,5520,8633,3212,5421,131247,67071,64176
2015年度,平成27年度,26100,京都市,184,181,3,2680,4167,1522,2645,67438,34297,33141
2015年度,平成27年度,26101,京都市北区,21,20,1,241,394,155,239,5874,2997,2877
2015年度,平成27年度,26102,京都市上京区,9,9,-,128,198,65,133,2988,1530,1458
2015年度,平成27年度,26103,京都市左京区,26,24,2,325,507,190,317,8061,4042,4019
2015年度,平成27年度,26104,京都市中京区,11,11,-,163,250,86,164,4275,2132,2143
2015年度,平成27年度,26105,京都市東山区,3,3,-,54,89,30,59,1547,733,814
2015年度,平成27年度,26110,京都市山科区,14,14,-,233,351,126,225,6023,3103,2920
2015年度,平成27年度,26106,京都市下京区,9,9,-,118,193,65,128,2740,1449,1291
2015年度,平成27年度,26107,京都市南区,11,11,-,176,267,103,164,4328,2215,2113
2015年度,平成27年度,26108,京都市右京区,25,25,-,374,557,206,351,9413,4833,4580
2015年度,平成27年度,26111,京都市西京区,18,18,-,306,472,168,304,7893,4098,3795
2015年度,平成27年度,26109,京都市伏見区,37,37,-,562,889,328,561,14296,7165,7131
2015年度,平成27年度,26201,福知山市,23,23,-,226,347,134,213,4319,2187,2132
2015年度,平成27年度,26202,舞鶴市,18,18,-,217,337,127,210,4652,2386,2266
2015年度,平成27年度,26203,綾部市,10,10,-,100,172,66,106,1665,881,784
2015年度,平成27年度,26204,宇治市,22,22,-,386,585,207,378,10493,5407,5086
2015年度,平成27年度,26205,宮津市,6,6,-,51,95,41,54,820,429,391
2015年度,平成27年度,26206,亀岡市,18,18,-,236,353,123,230,4891,2559,2332
2015年度,平成27年度,26207,城陽市,10,10,-,160,228,89,139,3834,1964,1870
2015年度,平成27年度,26208,向日市,7,7,-,132,201,75,126,3441,1838,1603
2015年度,平成27年度,26209,長岡京市,10,10,-,181,281,106,175,4530,2299,2231
2015年度,平成27年度,26210,八幡市,8,8,-,143,225,82,143,3783,1971,1812
2015年度,平成27年度,26211,京田辺市,9,9,-,168,247,90,157,4361,2198,2163
2015年度,平成27年度,26212,京丹後市,20,20,-,164,296,114,182,2839,1483,1356
2015年度,平成27年度,26213,南丹市,11,11,-,94,174,80,94,1449,770,679
2015年度,平成27年度,26214,木津川市,14,14,-,218,334,116,218,5659,2844,2815
2015年度,平成27年度,26303,乙訓郡大山崎町,2,2,-,38,60,24,36,898,444,454
2015年度,平成27年度,26322,久世郡久御山町,3,3,-,39,58,23,35,865,438,427
2015年度,平成27年度,26343,綴喜郡井手町,3,2,1,20,39,21,18,350,191,159
2015年度,平成27年度,26344,綴喜郡宇治田原町,2,2,-,27,39,17,22,481,248,233
2015年度,平成27年度,26364,相楽郡笠置町,1,1,-,6,13,8,5,24,11,13
2015年度,平成27年度,26365,相楽郡和束町,1,1,-,8,15,5,10,139,72,67
2015年度,平成27年度,26366,相楽郡精華町,5,5,-,98,137,58,79,2439,1212,1227
2015年度,平成27年度,26367,相楽郡南山城村,1,1,-,8,13,6,7,84,42,42
2015年度,平成27年度,26407,船井郡京丹波町,5,5,-,41,69,27,42,606,300,306
2015年度,平成27年度,26463,与謝郡伊根町,2,2,-,10,22,7,15,57,31,26
2015年度,平成27年度,26465,与謝郡与謝野町,9,9,-,69,126,44,82,1130,569,561
