西暦,和暦,種別,総数,総数_男(人),総数_女(人),校長_男(人),校長_女(人),副校長_男(人),副校長_女(人),教頭_男(人),教頭_女(人),主幹教諭_男(人),主幹教諭_女(人),指導教諭_男(人),指導教諭_女(人),教諭_男(人),教諭_女(人),助教諭_男(人),助教諭_女(人),養護教諭_男(人),養護教諭_女(人),養護助教諭_女(人),栄養教諭_男(人),栄養教諭_女(人),講師_男(人),講師_女(人)
2011年度,平成23年度,本務者,8753,3258,5495,335,78,4,2,304,120,16,8,6,21,2244,4082,2,-,-,404,-,-,108,347,672
2011年度,平成23年度,兼務者,1108,226,882,9,-,2,-,1,-,-,-,1,1,61,146,-,-,-,7,-,-,66,152,662
2012年度,平成24年度,本務者,8744,3269,5475,334,75,3,2,303,115,18,8,4,23,2258,4095,-,1,-,388,-,-,117,349,651
2012年度,平成24年度,兼務者,1091,262,829,8,-,3,-,8,2,-,-,-,-,80,152,-,-,-,7,-,-,71,163,597
2013年度,平成25年度,本務者,8624,3213,5411,322,76,4,2,285,126,24,5,5,21,2248,4050,-,-,-,381,-,-,118,325,632
2013年度,平成25年度,兼務者,1198,323,875,11,-,4,-,21,11,1,4,-,4,123,184,-,-,-,9,-,3,75,160,588
2014年度,平成26年度,本務者,8613,3209,5404,308,83,6,2,287,120,22,7,2,29,2214,4021,-,-,-,373,-,-,112,370,657
2014年度,平成26年度,兼務者,1140,295,845,12,-,3,-,1,2,-,3,-,4,123,168,-,-,-,8,-,-,76,156,584
2015年度,平成27年度,本務者,8633,3212,5421,288,91,6,3,281,116,27,4,2,25,2198,4002,-,-,-,364,-,1,109,409,707
2015年度,平成27年度,本務者_国立,45,24,21,-,-,2,-,-,-,2,-,-,-,20,18,-,-,-,2,-,-,1,-,-
2015年度,平成27年度,本務者_公立,8300,3049,5251,283,90,1,1,273,113,24,3,2,25,2079,3877,-,-,-,351,-,1,107,386,684
2015年度,平成27年度,本務者_私立,288,139,149,5,1,3,2,8,3,1,1,-,-,99,107,-,-,-,11,-,-,1,23,23
2015年度,平成27年度,兼務者,1258,342,916,14,1,4,-,4,1,-,-,1,4,125,172,-,-,-,7,-,-,73,194,658
2015年度,平成27年度,兼務者_国立,37,18,19,2,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,12,15
2015年度,平成27年度,兼務者_公立,1120,267,853,8,1,1,-,4,1,-,-,1,4,108,163,-,-,-,6,-,-,73,145,605
2015年度,平成27年度,兼務者_私立,101,57,44,4,-,3,-,-,-,-,-,-,-,13,5,-,-,-,1,-,-,-,37,38
