西暦,和暦,性別,種別,総数(人),1学年(人),2学年(人),3学年(人),4学年(人),5学年(人),6学年(人)
2011年度,平成23年度,男女計,合計,137409,21823,22298,22730,23219,23646,23693
2012年度,平成24年度,男女計,合計,135428,21651,21839,22285,22721,23245,23687
2013年度,平成25年度,男女計,合計,133804,21956,21634,21876,22309,22761,23268
2014年度,平成26年度,男女計,合計,132437,21803,22011,21695,21850,22300,22778
2015年度,平成27年度,男女計,合計,131247,21600,21777,22006,21692,21840,22332
2015年度,平成27年度,男,合計,67071,11050,11157,11248,11140,11089,11387
2015年度,平成27年度,女,合計,64176,10550,10620,10758,10552,10751,10945
2015年度,平成27年度,男女計,国立,980,165,165,165,159,161,165
2015年度,平成27年度,男,国立,491,83,81,82,81,81,83
2015年度,平成27年度,女,国立,489,82,84,83,78,80,82
2015年度,平成27年度,男女計,公立,125788,20664,20867,21079,20744,20972,21462
2015年度,平成27年度,男,公立,64528,10615,10732,10807,10686,10686,11002
2015年度,平成27年度,女,公立,61260,10049,10135,10272,10058,10286,10460
2015年度,平成27年度,男女計,私立,4479,771,745,762,789,707,705
2015年度,平成27年度,男,私立,2052,352,344,359,373,322,302
2015年度,平成27年度,女,私立,2427,419,401,403,416,385,403
