西暦,和暦,地域コード,地域,学校数(校),学校数_本校(校),学校数_分校(校),学級数(学級),教員数(人),教員数_男(人),教員数_女(人),生徒数(人),生徒数_男(人),生徒数_女(人)
2011年度,平成23年度,26000,京都府,203,202,1,2532,5367,3217,2150,72557,36571,35986
2012年度,平成24年度,26000,京都府,204,203,1,2553,5391,3212,2179,72382,36523,35859
2013年度,平成25年度,26000,京都府,203,202,1,2551,5429,3175,2254,72721,36597,36124
2014年度,平成26年度,26000,京都府,201,200,1,2525,5369,3113,2256,71783,36223,35560
2015年度,平成27年度,26000,京都府,202,201,1,2507,5381,3100,2281,70853,35801,35052
2015年度,平成27年度,26100,京都市,101,100,1,1344,2759,1593,1166,37834,19008,18826
2015年度,平成27年度,26101,京都市北区,8,8,-,98,193,120,73,3133,1931,1202
2015年度,平成27年度,26102,京都市上京区,6,6,-,76,148,77,71,1953,578,1375
2015年度,平成27年度,26103,京都市左京区,15,14,1,169,387,222,165,4924,2511,2413
2015年度,平成27年度,26104,京都市中京区,9,9,-,99,221,127,94,2628,1336,1292
2015年度,平成27年度,26105,京都市東山区,6,6,-,55,128,59,69,1508,439,1069
2015年度,平成27年度,26110,京都市山科区,7,7,-,104,206,125,81,2935,1491,1444
2015年度,平成27年度,26106,京都市下京区,5,5,-,60,123,68,55,1663,865,798
2015年度,平成27年度,26107,京都市南区,6,6,-,93,178,104,74,2754,1599,1155
2015年度,平成27年度,26108,京都市右京区,14,14,-,180,347,207,140,4878,2488,2390
2015年度,平成27年度,26111,京都市西京区,8,8,-,137,269,167,102,3878,2023,1855
2015年度,平成27年度,26109,京都市伏見区,17,17,-,273,559,317,242,7580,3747,3833
2015年度,平成27年度,26201,福知山市,11,11,-,84,216,125,91,2333,1214,1119
2015年度,平成27年度,26202,舞鶴市,7,7,-,87,189,108,81,2461,1285,1176
2015年度,平成27年度,26203,綾部市,6,6,-,41,107,67,40,956,483,473
2015年度,平成27年度,26204,宇治市,11,11,-,172,363,209,154,5530,2844,2686
2015年度,平成27年度,26205,宮津市,4,4,-,18,56,30,26,343,186,157
2015年度,平成27年度,26206,亀岡市,8,8,-,96,211,116,95,2554,1309,1245
2015年度,平成27年度,26207,城陽市,5,5,-,71,154,88,66,1968,1005,963
2015年度,平成27年度,26208,向日市,3,3,-,47,97,54,43,1474,729,745
2015年度,平成27年度,26209,長岡京市,5,5,-,94,202,121,81,2790,1367,1423
2015年度,平成27年度,26210,八幡市,4,4,-,60,135,81,54,1732,900,832
2015年度,平成27年度,26211,京田辺市,4,4,-,67,134,78,56,2226,1097,1129
2015年度,平成27年度,26212,京丹後市,6,6,-,68,151,85,66,1727,851,876
2015年度,平成27年度,26213,南丹市,6,6,-,38,115,63,52,893,426,467
2015年度,平成27年度,26214,木津川市,5,5,-,70,146,77,69,2193,1103,1090
2015年度,平成27年度,26303,乙訓郡大山崎町,1,1,-,14,29,19,10,372,204,168
2015年度,平成27年度,26322,久世郡久御山町,1,1,-,15,31,19,12,443,248,195
2015年度,平成27年度,26343,綴喜郡井手町,1,1,-,7,22,14,8,159,92,67
2015年度,平成27年度,26344,綴喜郡宇治田原町,1,1,-,11,25,15,10,297,142,155
2015年度,平成27年度,26364,相楽郡笠置町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26365,相楽郡和束町,1,1,-,4,13,6,7,84,45,39
2015年度,平成27年度,26366,相楽郡精華町,3,3,-,41,84,48,36,1227,630,597
2015年度,平成27年度,26367,相楽郡南山城村,1,1,-,4,15,11,4,69,36,33
2015年度,平成27年度,26407,船井郡京丹波町,3,3,-,19,45,30,15,360,176,184
2015年度,平成27年度,26463,与謝郡伊根町,1,1,-,3,11,5,6,40,18,22
2015年度,平成27年度,26465,与謝郡与謝野町,3,3,-,32,71,38,33,788,403,385
