西暦,和暦,種別,総数(人),総数_男(人),総数_女(人),校長_男(人),校長_女(人),副校長_男(人),副校長_女(人),教頭_男(人),教頭_女(人),主幹教諭_男(人),主幹教諭_女(人),指導教諭_男(人),指導教諭_女(人),教諭_男(人),教諭_女(人),助教諭_男(人),助教諭_女(人),養護教諭_男(人),養護教諭_女(人),養護助教諭_女(人),栄養教諭_女(人),講師_男(人),講師_女(人)
2011年度,平成23年度,本務者,5367,3217,2150,166,5,6,1,181,7,31,6,20,3,2390,1587,3,4,1,186,-,5,419,346
2011年度,平成23年度,兼務者,1131,562,569,26,2,8,1,11,4,1,1,2,-,219,137,1,2,-,9,-,1,294,412
2012年度,平成24年度,本務者,5391,3212,2179,165,5,9,1,178,10,29,5,17,5,2432,1629,4,2,1,191,-,5,377,326
2012年度,平成24年度,兼務者,1244,617,627,28,2,11,1,10,5,1,-,3,2,220,165,3,2,-,10,-,1,341,439
2013年度,平成25年度,本務者,5429,3175,2254,164,6,8,2,178,10,33,5,15,2,2400,1678,1,2,1,184,-,7,375,358
2013年度,平成25年度,兼務者,1421,729,692,26,3,10,1,14,3,2,-,1,3,343,231,6,2,-,14,-,2,327,433
2014年度,平成26年度,本務者,5369,3113,2256,163,6,8,3,171,14,34,7,18,3,2365,1702,3,3,1,180,-,13,350,325
2014年度,平成26年度,兼務者,1334,683,651,24,3,9,1,10,2,2,-,3,3,279,194,4,3,-,14,1,2,352,428
2015年度,平成27年度,本務者,5381,3100,2281,160,9,11,1,172,12,32,5,20,1,2322,1717,3,3,1,176,-,14,379,343
2015年度,平成27年度,本務者_国立,46,27,19,-,-,2,-,-,-,2,-,-,-,23,17,-,-,-,2,-,-,-,-
2015年度,平成27年度,本務者_公立,4782,2743,2039,156,9,4,-,159,10,28,4,19,1,2043,1548,-,-,-,161,-,14,334,292
2015年度,平成27年度,本務者_私立,553,330,223,4,-,5,1,13,2,2,1,1,-,256,152,3,3,1,13,-,-,45,51
2015年度,平成27年度,兼務者,1295,670,625,25,3,8,1,10,4,1,-,2,2,263,172,6,3,-,15,-,2,355,423
2015年度,平成27年度,兼務者_国立,21,12,9,2,-,-,-,-,-,-,-,-,-,5,2,-,-,-,-,-,-,5,7
2015年度,平成27年度,兼務者_公立,794,414,380,5,-,1,1,5,3,1,-,2,2,188,129,-,-,-,7,-,2,212,236
2015年度,平成27年度,兼務者_私立,480,244,236,18,3,7,-,5,1,-,-,-,-,70,41,6,3,-,8,-,-,138,180
