西暦,和暦,性別,種別,総数(人),児童(人),児童_6歳(人),児童_7歳(人),児童_8歳(人),児童_9歳(人),児童_10歳(人),児童_11歳(人),生徒(人),生徒_12歳(人),生徒_13歳(人),生徒_14歳(人)
2011年度,平成23年度,男女計,合計,38,22,4,4,5,2,3,4,16,5,4,7
2012年度,平成24年度,男女計,合計,33,16,2,3,3,4,1,3,17,4,8,5
2013年度,平成25年度,男女計,合計,37,18,1,4,3,4,4,2,19,5,6,8
2014年度,平成26年度,男女計,合計,45,28,9,2,5,4,4,4,17,3,6,8
2015年度,平成27年度,男女計,合計,48,30,6,8,3,5,4,4,18,9,3,6
2015年度,平成27年度,男,合計,23,13,1,4,2,3,2,1,10,4,3,3
2015年度,平成27年度,女,合計,25,17,5,4,1,2,2,3,8,5,-,3
2015年度,平成27年度,男女計,就学免除者,45,28,5,8,2,5,4,4,17,8,3,6
2015年度,平成27年度,男,就学免除者,22,12,1,4,1,3,2,1,10,4,3,3
2015年度,平成27年度,女,就学免除者,23,16,4,4,1,2,2,3,7,4,-,3
2015年度,平成27年度,男女計,就学猶予者,3,2,1,-,1,-,-,-,1,1,-,-
2015年度,平成27年度,男,就学猶予者,1,1,-,-,1,-,-,-,-,-,-,-
2015年度,平成27年度,女,就学猶予者,2,1,1,-,-,-,-,-,1,1,-,-
