西暦,和暦,地域コード,地域,学校数(校),学校数_全日制(校),学校数_定時制(校),学校数_併置(校),教員数(人),教員数_男(人),教員数_女(人),生徒数(人),生徒数_男(人),生徒数_女(人)
2011年度,平成23年度,26000,京都府,105,92,6,7,5184,3618,1566,71092,35412,35680
2012年度,平成24年度,26000,京都府,104,91,6,7,5254,3634,1620,71903,35821,36082
2013年度,平成25年度,26000,京都府,104,91,6,7,5192,3582,1610,71047,35490,35557
2014年度,平成26年度,26000,京都府,104,91,6,7,5245,3611,1634,72147,35884,36263
2015年度,平成27年度,26000,京都府,105,91,6,8,5280,3610,1670,72131,35868,36263
2015年度,平成27年度,26100,京都市,53,45,1,7,3030,2098,932,43306,21686,21620
2015年度,平成27年度,26101,京都市北区,4,3,1,-,214,143,71,2921,1662,1259
2015年度,平成27年度,26102,京都市上京区,3,2,-,1,140,89,51,1782,260,1522
2015年度,平成27年度,26103,京都市左京区,7,7,-,-,341,236,105,5760,2901,2859
2015年度,平成27年度,26104,京都市中京区,7,5,-,2,474,315,159,5292,2852,2440
2015年度,平成27年度,26105,京都市東山区,5,5,-,-,234,142,92,3649,1109,2540
2015年度,平成27年度,26110,京都市山科区,2,1,-,1,66,46,20,803,371,432
2015年度,平成27年度,26106,京都市下京区,2,2,-,-,145,110,35,2518,1513,1005
2015年度,平成27年度,26107,京都市南区,4,3,-,1,281,200,81,3891,2578,1313
2015年度,平成27年度,26108,京都市右京区,7,7,-,-,396,277,119,6132,2919,3213
2015年度,平成27年度,26111,京都市西京区,4,4,-,-,261,194,67,4346,2380,1966
2015年度,平成27年度,26109,京都市伏見区,8,6,-,2,478,346,132,6212,3141,3071
2015年度,平成27年度,26201,福知山市,7,6,1,-,279,208,71,3711,2054,1657
2015年度,平成27年度,26202,舞鶴市,4,3,1,-,146,95,51,1914,826,1088
2015年度,平成27年度,26203,綾部市,2,1,-,1,80,48,32,922,388,534
2015年度,平成27年度,26204,宇治市,6,6,-,-,345,234,111,4900,2492,2408
2015年度,平成27年度,26205,宮津市,3,3,-,-,106,76,30,1143,643,500
2015年度,平成27年度,26206,亀岡市,2,2,-,-,115,70,45,1459,693,766
2015年度,平成27年度,26207,城陽市,2,2,-,-,129,84,45,1843,857,986
2015年度,平成27年度,26208,向日市,2,2,-,-,101,55,46,1465,294,1171
2015年度,平成27年度,26209,長岡京市,3,3,-,-,162,100,62,2320,1185,1135
2015年度,平成27年度,26210,八幡市,2,2,-,-,82,55,27,775,320,455
2015年度,平成27年度,26211,京田辺市,2,2,-,-,110,69,41,1730,936,794
2015年度,平成27年度,26212,京丹後市,5,4,1,-,150,106,44,1442,753,689
2015年度,平成27年度,26213,南丹市,5,4,1,-,122,81,41,1209,543,666
2015年度,平成27年度,26214,木津川市,2,2,-,-,135,92,43,1799,922,877
2015年度,平成27年度,26303,乙訓郡大山崎町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26322,久世郡久御山町,1,1,-,-,58,41,17,952,469,483
2015年度,平成27年度,26343,綴喜郡井手町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26344,綴喜郡宇治田原町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26364,相楽郡笠置町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26365,相楽郡和束町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26366,相楽郡精華町,1,1,-,-,48,39,9,611,471,140
2015年度,平成27年度,26367,相楽郡南山城村,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26407,船井郡京丹波町,1,1,-,-,38,29,9,238,134,104
2015年度,平成27年度,26463,与謝郡伊根町,1,-,1,-,11,7,4,38,26,12
2015年度,平成27年度,26465,与謝郡与謝野町,1,1,-,-,33,23,10,354,176,178
