西暦,和暦,種別,総数(人),総数_男(人),総数_女(人),校長_男(人),校長_女(人),副校長_男(人),副校長_女(人),教頭_男(人),教頭_女(人),主幹教諭_男(人),主幹教諭_女(人),指導教諭_男(人),指導教諭_女(人),教諭_男(人),教諭_女(人),助教諭_男(人),助教諭_女(人),養護教諭_男(人),養護教諭_女(人),養護助教諭_女(人),講師_男(人),講師_女(人)
2011年度,平成23年度,本務者,5184,3618,1566,93,2,31,2,112,12,26,3,22,4,2963,1140,14,15,1,113,1,356,274
2011年度,平成23年度,兼務者,1708,893,815,2,-,2,-,1,-,1,-,-,-,122,60,1,2,-,5,-,764,748
2012年度,平成24年度,本務者,5254,3634,1620,93,2,26,2,110,12,26,3,21,6,2928,1174,18,15,-,115,2,412,289
2012年度,平成24年度,兼務者,1768,948,820,2,-,2,-,1,-,1,-,-,-,136,57,2,-,-,5,-,804,758
2013年度,平成25年度,本務者,5192,3582,1610,89,4,28,1,112,12,27,4,24,7,2891,1195,20,14,-,117,2,391,254
2013年度,平成25年度,兼務者,1835,973,862,3,-,1,-,1,-,-,-,-,-,125,70,2,1,-,5,-,841,786
2014年度,平成26年度,本務者,5245,3611,1634,89,4,26,-,111,13,27,4,28,7,2906,1220,20,12,-,118,1,404,255
2014年度,平成26年度,兼務者,1868,967,901,3,-,2,-,1,1,-,-,-,-,118,70,2,1,-,5,-,841,824
2015年度,平成27年度,本務者,5280,3610,1670,88,4,28,-,107,15,28,6,28,6,2910,1246,21,14,-,121,1,400,257
2015年度,平成27年度,本務者_国立(全日制),37,28,9,-,-,1,-,-,-,1,-,-,-,26,8,-,-,-,1,-,-,-
2015年度,平成27年度,本務者_公立,3388,2318,1070,55,1,7,-,75,8,10,2,15,4,1959,862,-,-,-,85,-,197,108
2015年度,平成27年度,本務者_公立_全日制,3150,2141,1009,54,1,1,-,70,6,10,1,15,4,1812,823,-,-,-,73,-,179,101
2015年度,平成27年度,本務者_公立_定時制,238,177,61,1,-,6,-,5,2,-,1,-,-,147,39,-,-,-,12,-,18,7
2015年度,平成27年度,本務者_私立(全日制),1855,1264,591,33,3,20,-,32,7,17,4,13,2,925,376,21,14,-,35,1,203,149
2015年度,平成27年度,兼務者,1873,953,920,4,1,2,-,1,1,-,-,1,-,99,62,2,1,-,4,-,844,851
2015年度,平成27年度,兼務者_国立(全日制),13,6,7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6
2015年度,平成27年度,兼務者_公立,699,388,311,-,-,-,-,-,-,-,-,-,-,20,9,-,-,-,1,-,368,301
2015年度,平成27年度,兼務者_公立_全日制,603,330,273,-,-,-,-,-,-,-,-,-,-,16,9,-,-,-,1,-,314,263
2015年度,平成27年度,兼務者_公立_定時制,96,58,38,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,54,38
2015年度,平成27年度,兼務者_私立(全日制),1161,559,602,4,-,2,-,1,1,-,-,1,-,79,53,2,1,-,3,-,470,544
