西暦,和暦,種別,総数(人),総数_男(人),総数_女(人),本科_1学年_男(人),本科_1学年_女(人),本科_2学年_男(人),本科_2学年_女(人),本科_3学年_男(人),本科_3学年_女(人),本科_4学年_男(人),本科_4学年_女(人),専攻科_男(人),専攻科_女(人)
2011年度,平成23年度,合計,71092,35412,35680,12077,11967,12057,12154,11109,11334,162,109,7,116
2012年度,平成24年度,合計,71903,35821,36082,12546,12428,11427,11584,11644,11860,201,114,3,96
2013年度,平成25年度,合計,71047,35490,35557,12400,12130,11852,11955,11040,11272,191,106,7,94
2014年度,平成26年度,合計,72147,35884,36263,12396,12654,11838,11714,11501,11681,141,93,8,121
2015年度,平成27年度,合計,72131,35868,36263,12267,12290,11912,12317,11553,11461,127,57,9,138
2015年度,平成27年度,全日制,70769,34951,35818,11900,12091,11685,12207,11357,11382,・,・,9,138
2015年度,平成27年度,定時制,1362,917,445,367,199,227,110,196,79,127,57,-,-
2015年度,平成27年度,国立(全日制),609,302,307,94,110,108,97,100,100,・,・,-,-
2015年度,平成27年度,公立,40169,20319,19850,6970,6750,6699,6791,6523,6252,127,57,-,-
2015年度,平成27年度,公立_全日制,38807,19402,19405,6603,6551,6472,6681,6327,6173,・,・,-,-
2015年度,平成27年度,公立_定時制,1362,917,445,367,199,227,110,196,79,127,57,-,-
2015年度,平成27年度,私立,31353,15247,16106,5203,5430,5105,5429,4930,5109,・,・,9,138
2015年度,平成27年度,私立_全日制,31353,15247,16106,5203,5430,5105,5429,4930,5109,・,・,9,138
2015年度,平成27年度,私立_定時制,-,-,-,-,-,-,-,-,-,-,-,-,-
