西暦,和暦,種別,総数(人),普通科(人),農業に関する学科(人),工業に関する学科(人),商業に関する学科(人),水産に関する学科(人),家庭に関する学科(人),看護に関する学科(人),情報に関する学科(人),福祉に関する学科(人),その他の学科(人),総合学科(人)
2011年度,平成23年度,合計,70969,58683,1095,2209,1398,290,96,182,214,124,4630,2048
2012年度,平成24年度,合計,71804,59272,1086,2214,1416,273,98,224,218,125,4820,2058
2013年度,平成25年度,合計,70946,58440,1062,2181,1420,275,86,243,221,114,4882,2022
2014年度,平成26年度,合計,72018,59307,1064,2153,1453,279,68,259,232,119,4963,2121
2015年度,平成27年度,合計,71984,59223,1060,2095,1462,291,62,260,230,130,4926,2245
2015年度,平成27年度,全日制,70622,58147,995,1975,1397,291,26,260,230,130,4926,2245
2015年度,平成27年度,定時制,1362,1076,65,120,65,-,36,-,-,-,-,-
2015年度,平成27年度,国立(全日制),609,609,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,公立,40169,30270,1060,2095,1085,291,62,-,230,84,4186,806
2015年度,平成27年度,公立_全日制,38807,29194,995,1975,1020,291,26,-,230,84,4186,806
2015年度,平成27年度,公立_定時制,1362,1076,65,120,65,-,36,-,-,-,-,-
2015年度,平成27年度,私立,31206,28344,-,-,377,-,-,260,-,46,740,1439
2015年度,平成27年度,私立_全日制,31206,28344,-,-,377,-,-,260,-,46,740,1439
2015年度,平成27年度,私立_定時制,-,-,-,-,-,-,-,-,-,-,-,-
