西暦(3月卒),和暦(3月卒),性別,卒業者数(A〜F)(人),高等学校等進学者A(人),専修学校(高等課程)進学者B(人),専修学校等入学者C(人),就職者D(人),左記以外の者E(人),死亡・不詳F(人),A、B、C中就職している者(再掲)G(人),高等学校等進学率A/(A〜F)(%),専修学校(高等課程)進学率B/(A〜F)(%),専修学校等入学率C/(A〜F)(%),就職率(D+G)/(A〜F)(%)
2011年,平成23年,男女計,23421,23177,25,10,42,167,-,-,99,0.1,0,0.2
2011年,平成23年,男,11799,11676,11,5,33,74,-,-,99,0.1,0,0.3
2011年,平成23年,女,11622,11501,14,5,9,93,-,-,99,0.1,0,0.1
2012年,平成24年,男女計,24277,24024,31,14,51,157,-,2,99,0.1,0.1,0.2
2012年,平成24年,男,12268,12128,16,5,47,72,-,2,98.9,0.1,0,0.4
2012年,平成24年,女,12009,11896,15,9,4,85,-,-,99.1,0.1,0.1,0
2013年,平成25年,男女計,23751,23519,14,7,54,157,-,1,99,0.1,0,0.2
2013年,平成25年,男,12094,11971,2,3,43,75,-,1,99,0,0,0.4
2013年,平成25年,女,11657,11548,12,4,11,82,-,-,99.1,0.1,0,0.1
2014年,平成26年,男女計,24543,24272,18,23,61,169,-,8,98.9,0.1,0.1,0.3
2014年,平成26年,男,12248,12102,4,13,51,78,-,8,98.8,0,0.1,0.5
2014年,平成26年,女,12295,12170,14,10,10,91,-,-,99,0.1,0.1,0.1
2015年,平成27年,男女計,24120,23881,16,22,54,146,1,3,99,0.1,0.1,0.2
2015年,平成27年,男,12208,12075,4,8,42,78,1,3,98.9,0,0.1,0.4
2015年,平成27年,女,11912,11806,12,14,12,68,-,-,99.1,0.1,0.1,0.1
