西暦(3月卒),和暦(3月卒),性別,卒業者数(A〜G)(人),大学等進学者A(人),専修学校(専門課程)進学者B(人),専修学校等入学者C(人),就職者D(人),一時的な仕事に就いた者E(人),左記以外の者F(人),死亡・不詳G(人),A、B、C中就職している者(再掲)H(人),大学等進学率A/(A〜G)(%),専修学校(専門課程)進学率B/(A〜G)(%),専修学校等入学率C/(A〜G)(%),就職率(D+H)/(A〜G)(%)
2011年,平成23年,男女計,22529,14898,2957,1312,1830,328,1204,-,10,66.1,13.1,5.8,8.2
2011年,平成23年,男,11070,7048,1182,897,1149,110,684,-,2,63.7,10.7,8.1,10.4
2011年,平成23年,女,11459,7850,1775,415,681,218,520,-,8,68.5,15.5,3.6,6
2012年,平成24年,男女計,22220,14754,2998,1174,1841,273,1180,-,4,66.4,13.5,5.3,8.3
2012年,平成24年,男,10973,7069,1234,761,1136,103,670,-,2,64.4,11.2,6.9,10.4
2012年,平成24年,女,11247,7685,1764,413,705,170,510,-,2,68.3,15.7,3.7,6.3
2013年,平成25年,男女計,23240,15069,3350,1261,1953,327,1278,2,3,64.8,14.4,5.4,8.4
2013年,平成25年,男,11531,7262,1344,856,1216,118,733,2,1,63,11.7,7.4,10.6
2013年,平成25年,女,11709,7807,2006,405,737,209,545,-,2,66.7,17.1,3.5,6.3
2014年,平成26年,男女計,22250,14599,3096,1283,1829,265,1177,1,7,65.6,13.9,5.8,8.3
2014年,平成26年,男,11012,6923,1317,857,1147,101,666,1,3,62.9,12,7.8,10.4
2014年,平成26年,女,11238,7676,1779,426,682,164,511,-,4,68.3,15.8,3.8,6.1
2015年,平成27年,男女計,22966,15249,3155,1233,1977,227,1125,-,4,66.4,13.7,5.4,8.6
2015年,平成27年,男,11387,7365,1247,833,1241,83,618,-,1,64.7,11,7.3,10.9
2015年,平成27年,女,11579,7884,1908,400,736,144,507,-,3,68.1,16.5,3.5,6.4
