西暦(3月卒),和暦(3月卒),産業,就職者数(人),就職者数_男(人),就職者数_女(人)
2011年,平成23年,合計,1840,1151,689
2012年,平成24年,合計,1845,1138,707
2013年,平成25年,合計,1956,1217,739
2014年,平成26年,合計,1836,1150,686
2015年,平成27年,合計,1981,1242,739
2015年,平成27年,"農業,林業",7,5,2
2015年,平成27年,漁業,8,8,-
2015年,平成27年,"鉱業,採石業,砂利採取業",1,1,-
2015年,平成27年,建設業,140,134,6
2015年,平成27年,製造業,656,488,168
2015年,平成27年,電気・ガス・熱供給・水道業,27,25,2
2015年,平成27年,情報通信業,16,8,8
2015年,平成27年,"運輸業,郵便業",133,93,40
2015年,平成27年,"卸売業,小売業",231,103,128
2015年,平成27年,"金融業,保険業",9,2,7
2015年,平成27年,"不動産業,物品賃貸業",19,14,5
2015年,平成27年,"学術研究,専門・技術サービス業",27,14,13
2015年,平成27年,"宿泊業,飲食サービス業",199,90,109
2015年,平成27年,"生活関連サービス業,娯楽業",112,37,75
2015年,平成27年,"教育,学習支援業",5,1,4
2015年,平成27年,"医療,福祉",149,42,107
2015年,平成27年,複合サービス事業,16,6,10
2015年,平成27年,サービス業(他に分類されないもの),77,55,22
2015年,平成27年,公務(他に分類されるものを除く),139,111,28
2015年,平成27年,上記以外のもの,10,5,5
