西暦,和暦,種類,公立(人),公立_男(人),公立_女(人),私立(人),私立_男(人),私立_女(人)
2011年度,平成23年度,合計,348,72,276,14534,7429,7105
2012年度,平成24年度,合計,356,88,268,14545,7451,7094
2013年度,平成25年度,合計,342,76,266,14785,7425,7360
2014年度,平成26年度,合計,331,78,253,14933,7480,7453
2015年度,平成27年度,合計,323,69,254,15218,7638,7580
2015年度,平成27年度,土木・建築,-,-,-,1171,968,203
2015年度,平成27年度,自動車整備,-,-,-,809,799,10
2015年度,平成27年度,情報処理,-,-,-,1200,1068,132
2015年度,平成27年度,工業関係その他,-,-,-,429,208,221
2015年度,平成27年度,看護,292,46,246,2137,317,1820
2015年度,平成27年度,准看護,-,-,-,313,91,222
2015年度,平成27年度,歯科衛生,-,-,-,322,-,322
2015年度,平成27年度,歯科技工,-,-,-,42,23,19
2015年度,平成27年度,臨床検査,-,-,-,278,124,154
2015年度,平成27年度,はり・きゅう・あんま,31,23,8,370,225,145
2015年度,平成27年度,柔道整復,-,-,-,411,343,68
2015年度,平成27年度,理学・作業療法,-,-,-,518,315,203
2015年度,平成27年度,医療関係その他,-,-,-,177,29,148
2015年度,平成27年度,栄養,-,-,-,489,69,420
2015年度,平成27年度,調理,-,-,-,406,274,132
2015年度,平成27年度,理容,-,-,-,32,25,7
2015年度,平成27年度,美容,-,-,-,681,196,485
2015年度,平成27年度,製菓・製パン,-,-,-,391,98,293
2015年度,平成27年度,衛生関係その他,-,-,-,119,-,119
2015年度,平成27年度,介護福祉,-,-,-,122,72,50
2015年度,平成27年度,社会福祉,-,-,-,381,152,229
2015年度,平成27年度,商業,-,-,-,228,6,222
2015年度,平成27年度,経理・簿記,-,-,-,263,181,82
2015年度,平成27年度,旅行,-,-,-,209,57,152
2015年度,平成27年度,情報,-,-,-,209,78,131
2015年度,平成27年度,ビジネス,-,-,-,201,14,187
2015年度,平成27年度,商業実務関係その他,-,-,-,20,-,20
2015年度,平成27年度,和洋裁,-,-,-,119,9,110
2015年度,平成27年度,編物・手芸,-,-,-,21,-,21
2015年度,平成27年度,ファッションビジネス,-,-,-,35,15,20
2015年度,平成27年度,音楽,-,-,-,94,9,85
2015年度,平成27年度,デザイン,-,-,-,393,120,273
2015年度,平成27年度,茶華道,-,-,-,34,14,20
2015年度,平成27年度,外国語,-,-,-,333,139,194
2015年度,平成27年度,受験・補習,-,-,-,1035,754,281
2015年度,平成27年度,動物,-,-,-,195,22,173
2015年度,平成27年度,法律行政,-,-,-,600,531,69
2015年度,平成27年度,スポーツ,-,-,-,293,206,87
2015年度,平成27年度,文化・教養関係その他,-,-,-,138,87,51
