西暦,和暦,種類,私立(人),私立_男(人),私立_女(人)
2011年度,平成23年度,合計,5158,2283,2875
2012年度,平成24年度,合計,4981,2300,2681
2013年度,平成25年度,合計,5074,2329,2745
2014年度,平成26年度,合計,4394,2174,2220
2015年度,平成27年度,合計,4504,2102,2402
2015年度,平成27年度,商業実務関係その他,587,209,378
2015年度,平成27年度,和洋裁,7,-,7
2015年度,平成27年度,料理,2,-,2
2015年度,平成27年度,音楽,288,-,288
2015年度,平成27年度,茶華道,64,2,62
2015年度,平成27年度,外国語,41,6,35
2015年度,平成27年度,文化・教養関係その他,1292,578,714
2015年度,平成27年度,予備校,750,507,243
2015年度,平成27年度,自動車操縦,898,515,383
2015年度,平成27年度,外国人学校,565,275,290
2015年度,平成27年度,その他,10,10,-
