西暦,和暦,種別,項目,幼稚園(千円),小学校(千円),中学校(千円),高等学校(千円)
2010年度,平成22年度,収入の部,合計,18027024,4717964,10275346,39442572
2011年度,平成23年度,収入の部,合計,17300693,4882067,11835083,38368758
2012年度,平成24年度,収入の部,合計,18371463,4927748,10173797,39640445
2013年度,平成25年度,収入の部,合計,18585636,5015326,10462091,40682013
2014年度,平成26年度,収入の部,合計,18200341,5486095,12977390,49924820
2014年度,平成26年度,収入の部,園児・生徒納付金,7086054,3511108,6785645,22438408
2014年度,平成26年度,収入の部,手数料,38219,21809,169939,522732
2014年度,平成26年度,収入の部,寄付金,162093,160732,475903,1377954
2014年度,平成26年度,収入の部,補助金,6539431,1257164,2573194,15024813
2014年度,平成26年度,収入の部,財産収入,1322547,170736,1720139,3563941
2014年度,平成26年度,収入の部,諸収入,1837192,364546,408140,1587902
2014年度,平成26年度,収入の部,借入金等,1214805,-,844430,5409070
2010年度,平成22年度,支出の部,合計,16863376,4315029,9863112,41025381
2011年度,平成23年度,支出の部,合計,16317071,4305151,12999409,40814593
2012年度,平成24年度,支出の部,合計,17522169,6084023,10081461,40494483
2013年度,平成25年度,支出の部,合計,17491132,5715744,11286064,44929142
2014年度,平成26年度,支出の部,合計,17540081,5016839,13350078,49288706
2014年度,平成26年度,支出の部,人件費,9774583,3181551,6439831,21833810
2014年度,平成26年度,支出の部,教育管理費,4229007,1422164,2670974,14637071
2014年度,平成26年度,支出の部,施設費,2526082,222381,3388673,8312519
2014年度,平成26年度,支出の部,設備費,258991,120991,332018,859835
2014年度,平成26年度,支出の部,借入金返済,708387,55550,497086,3471472
2014年度,平成26年度,支出の部,借入金利息,43031,14202,21496,173999
