西暦,和暦,支出項目,総数(千円),幼稚園(千円),小学校(千円),中学校(千円),特別支援学校(千円),高等学校_全日制(千円),高等学校_定時制(千円),高等学校_通信制(千円),専修学校(千円)
2009年度,平成21年度,合計,278689596,5065986,127774835,69296435,24561453,46893281,4056520,438850,602236
2010年度,平成22年度,合計,279369015,4978594,125647834,69270172,25109960,49672686,3534088,593094,562587
2011年度,平成23年度,合計,267637909,5041735,121246498,67075839,21710811,48341418,3131224,492056,598328
2012年度,平成24年度,合計,264296864,3769933,116563428,67985682,21058639,50559128,3263553,484148,612353
2013年度,平成25年度,合計,258837865,3244217,113222390,64784094,21109971,52370926,3059268,455349,591650
2013年度,平成25年度,消費的支出,205608420,3096642,91749560,51507583,19485691,36098090,2630068,454467,586319
2013年度,平成25年度,消費的支出_人件費,182671789,2710184,79977872,45134942,18117353,33487072,2424443,437905,382018
2013年度,平成25年度,消費的支出_教育活動費,6781048,71060,2786024,2102251,225415,1430710,121962,10016,33610
2013年度,平成25年度,消費的支出_管理費,8345561,149372,4697449,2021516,376512,879680,57820,5838,157374
2013年度,平成25年度,消費的支出_補助活動費,7009109,141017,3957923,2005339,757511,109798,24628,624,12269
2013年度,平成25年度,消費的支出_所定支払金,800913,25009,330292,243535,8900,190830,1215,84,1048
2013年度,平成25年度,資本的支出,27665132,69148,12694414,8725403,827909,5330813,11232,882,5331
2013年度,平成25年度,資本的支出_土地・建築費,25301535,46570,11460286,8063934,674467,5056278,-,-,-
2013年度,平成25年度,資本的支出_設備・備品費等,2363597,22578,1234128,661469,153442,274535,11232,882,5331
2013年度,平成25年度,債務償還費,25564313,78427,8778416,4551108,796371,10942023,417968,-,-
